	functools.partial(<function _simpsons_dominance at 0x7c3344aa8f70>)
SRR23478191	0.9118570736385814
SRR23478195	0.24397323572628415
SRR23478196	0.9518957883485605
SRR23478197	0.8317566643663987
SRR23478198	0.8940170483617584
SRR23478199	0.7357519145882011
SRR23478200	0.9245056814387295
SRR23478201	0.8973635844572092
SRR23478202	0.7507800784769563
SRR23478203	0.944336228617165
SRR23478204	0.9090839685575762
SRR23478205	0.6867395929486958
SRR23478206	0.9083296409580711
SRR23478207	0.9289779766524194
SRR23478208	0.6946821502171634
SRR23478209	0.9322906263432655
SRR23478210	0.954227558519297
SRR23478211	0.6388780901338287
SRR23478212	0.9355111029844614
SRR23478213	0.6604276114236853
SRR23478214	0.9065394445231999
SRR23478215	0.9240425334237005
SRR23478216	0.8733836774718389
SRR23478217	0.9044445748157915
SRR23478218	0.9298134692928934
SRR23478220	0.9357014350055336
SRR23478227	0.5256186672086463
SRR23478228	0.9023111009857723
SRR23478229	0.9582871802278105
SRR23478230	0.8742460560321339
SRR23478231	0.8735616318241632
SRR23478232	0.8066780363670619
SRR23478233	0.9296731045001678
SRR23478234	0.9654653657229532
SRR23478235	0.9719306685176354
SRR23478236	0.579757626476503
SRR23478237	0.899566048572052
SRR23478238	0.8683511912910113
SRR23478239	0.927400787721941
SRR23478240	0.8177742105742272
SRR23478241	0.9614207088188683
SRR23478242	0.9158166087059499
SRR23478243	0.9586387263115073
SRR23478244	0.9142030476914874
SRR23478245	0.9229530449331442
SRR23478246	0.9496407698696903
SRR23478247	0.9364056431922403
SRR23478248	0.9243194583978563
SRR23478249	0.17138967308268693
SRR23478250	0.9536970435202637
SRR23478251	0.8539016326880636
SRR23478252	0.5511880900650921
SRR23478253	0.785932809905057
SRR23478254	0.7761583069337696
SRR23478255	0.9629147543105041
SRR23478256	0.916232427356464
SRR23478257	0.8775185290277003
SRR23478258	0.9689034154020963
SRR23478259	0.9506943428296177
SRR23478260	0.9183891346794606
SRR23478261	0.8846951926783249
SRR23478262	0.9711458025714658
SRR23478263	0.9269306392221285
SRR23478264	0.7045528337619988
SRR23478265	0.9328506143978007
SRR23478266	0.9148789495701563
SRR23478267	0.8812712961532007
SRR23478268	0.9435214330621381
SRR23478269	0.8679750420542709
SRR23478270	0.8919926907836918
SRR23478271	0.9048421820602381
SRR23478272	0.8524227041853083
SRR23478273	0.8609107919853884
SRR23478274	0.7790274911320217
SRR23478275	0.6214781315635094
SRR23478276	0.9556413013485242
SRR23478277	0.7132377467864287
SRR23478278	0.9177567068258607
SRR23478279	0.894404509976084
SRR23478280	0.6441544265346173
SRR23478281	0.8736519279322412
SRR23478282	0.9507364471946204
SRR23478283	0.856976316624419
SRR23478284	0.9260976829891847
SRR23478285	0.9301791178024585
SRR23478286	0.9364805179425342
SRR23478287	0.9248394219415637
SRR23478288	0.8934374792410896
SRR23478289	0.9288146320074694
SRR23478290	0.9686630146963764
SRR23478291	0.9351183149143223
SRR23478292	0.9589765757945404
SRR23478293	0.9421586212961189
SRR23478294	0.925754608506639
SRR23492483	0.8618802576716118
SRR23492508	0.9187399705690489
SRR23492516	0.4608685455815641
SRR23492517	0.8523903903533725
SRR23492518	0.9306625570777298
SRR23492520	0.9431741988712429
SRR23492521	0.8895836109114325
SRR23492522	0.909694532578265
SRR23492523	0.7507931663398124
SRR23492524	0.9429529226783012
SRR23492525	0.8551542629109674
SRR23492530	0.8870756618736427
SRR23492531	0.9339803810399377
SRR23492532	0.9441797830006975
SRR23492534	0.8950952752028802
SRR23492545	0.7619640123846692
SRR23492546	0.9095849090448065
SRR23492547	0.8953854909524949
SRR23492549	0.9402211610400397
SRR23492550	0.9489046536762527
SRR23492551	0.8648583044810636
SRR23492553	0.9387891560765945
SRR23492554	0.9586252326234461
SRR23492555	0.8672757037700223
SRR23492556	0.8985288100766196
SRR23492560	0.883117293553738
SRR29856071	0.8089917473161828
SRR29856073	0.7922423265492295
SRR29856074	0.9106491856445117
SRR29856077	0.9402901005967127
SRR29856079	0.9388697631079068
SRR29856080	0.5353706468810647
SRR29856082	0.9106701363707118
SRR29856083	0.6114477050724169
SRR29856085	0.9476930117990381
SRR29856086	0.9333501852249645
SRR29856087	0.9390205778996572
SRR29856088	0.8245643764453876
SRR29856090	0.903150499693843
SRR29856091	0.8755864966837359
SRR29856092	0.9108222193662273
SRR29856093	0.34655524532755055
SRR29856094	0.900164640749198
SRR29856095	0.8890929175106246
SRR29856096	0.9210830531173704
SRR29856097	0.894792681784518
SRR29856098	0.9369572611019255
SRR29856099	0.898302511796768
SRR29856102	0.9585686707355209
