,SRR23478191,SRR23478195,SRR23478196,SRR23478197,SRR23478198,SRR23478199,SRR23478200,SRR23478201,SRR23478202,SRR23478203,SRR23478204,SRR23478205,SRR23478206,SRR23478207,SRR23478208,SRR23478209,SRR23478210,SRR23478211,SRR23478212,SRR23478213,SRR23478214,SRR23478215,SRR23478216,SRR23478217,SRR23478218,SRR23478220,SRR23478227,SRR23478228,SRR23478229,SRR23478230,SRR23478231,SRR23478232,SRR23478233,SRR23478234,SRR23478235,SRR23478236,SRR23478237,SRR23478238,SRR23478239,SRR23478240,SRR23478241,SRR23478242,SRR23478243,SRR23478244,SRR23478245,SRR23478246,SRR23478247,SRR23478248,SRR23478249,SRR23478250,SRR23478251,SRR23478252,SRR23478253,SRR23478254,SRR23478255,SRR23478256,SRR23478257,SRR23478258,SRR23478259,SRR23478260,SRR23478261,SRR23478262,SRR23478263,SRR23478264,SRR23478265,SRR23478266,SRR23478267,SRR23478268,SRR23478269,SRR23478270,SRR23478271,SRR23478272,SRR23478273,SRR23478274,SRR23478275,SRR23478276,SRR23478277,SRR23478278,SRR23478279,SRR23478280,SRR23478281,SRR23478282,SRR23478283,SRR23478284,SRR23478285,SRR23478286,SRR23478287,SRR23478288,SRR23478289,SRR23478290,SRR23478291,SRR23478292,SRR23478293,SRR23478294,SRR23492483,SRR23492508,SRR23492516,SRR23492517,SRR23492518,SRR23492520,SRR23492521,SRR23492522,SRR23492523,SRR23492524,SRR23492525,SRR23492530,SRR23492531,SRR23492532,SRR23492534,SRR23492545,SRR23492546,SRR23492547,SRR23492549,SRR23492550,SRR23492551,SRR23492553,SRR23492554,SRR23492555,SRR23492556,SRR23492560,SRR29856071,SRR29856073,SRR29856074,SRR29856077,SRR29856079,SRR29856080,SRR29856082,SRR29856083,SRR29856085,SRR29856086,SRR29856087,SRR29856088,SRR29856090,SRR29856091,SRR29856092,SRR29856093,SRR29856094,SRR29856095,SRR29856096,SRR29856097,SRR29856098,SRR29856099,SRR29856102
d__Bacteria;__;__;__;__;__,0.0,0.00015943877551020407,0.0003339455668725998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033467202141900936,0.0,0.0,0.0,0.0,0.00048161823727725157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005020920502092051,0.0017962116263879817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001621796951021732,0.0006501950585175553,0.0,0.0,0.00016017940092904052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012797952327627579,0.0,0.0011441647597254005,0.0,0.0,0.0,0.00048559404337973454,0.0,0.0,0.0,0.0,0.0,0.0,0.0003281916639317361,0.0,0.0,0.00017491691446562882,0.0,0.0,0.0001765848490199541,0.0,0.0,0.0,0.0006554153694904145,0.0,0.000319744204636291,0.0,0.0,0.0,0.0008020532563362208,0.004799735187024164,0.0,0.001006204930404159,0.0034079844206426485,0.0035587188612099642,0.0,0.0,0.0004993342210386152,0.0003563156957063959,0.0,0.0,0.0,0.0001884303749764462,0.0,0.0,0.0,0.0,0.0,0.0001657550140891762,0.0021083360363282518,0.0,0.0,0.0,0.0,0.002085338466474174,0.0,0.0,0.00045475216007276033,0.018691588785046728,0.0,0.0,0.0,0.0004798464491362764,0.0002402691013935608,0.0007266121707538601,0.0,0.0,0.0,0.004148053605615826,0.0,0.0028929604628736743,0.0,0.0,0.0,0.0,0.0,0.00035423308537017357,0.0,0.0,0.0,0.0,0.001905850962454736,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia,0.01921537229783827,0.021045918367346938,0.05476707296710636,0.006277878737815959,0.0030293367346938774,0.5102498398462524,0.2543408360128617,0.09574808184143223,0.0006405124099279424,0.021601429267500406,0.011211512717536815,0.5901060070671378,0.05256451099076139,0.01009777207885879,0.002247551773960507,0.017980414191684058,0.0017889087656529517,0.45423946145215577,0.1741492251158332,0.005275779376498801,0.004390243902439025,0.01300578034682081,0.00112,0.00016059097478721696,0.00048023051064510964,0.0005022601707684581,0.509001115182412,0.0015979546180888463,0.005829959514170041,0.0020883534136546186,0.0003209757663296421,0.00015936254980079682,0.0016092693916961698,0.0,0.004735467015022861,0.00032071840923669016,0.000639488409272582,0.03393374075265359,0.06802502807636772,0.0004803073967339097,0.008505857807735516,0.0017813765182186235,0.018812844631852094,0.02893368010403121,0.002105632567117038,0.021255561047948592,0.04164664424155054,0.0,0.002722177742193755,0.0,0.0003202049311559398,0.0039904229848363925,0.0,0.03313684881312729,0.0456950456950457,0.0335946248600224,0.0,0.02517162471395881,0.003044871794871795,0.0048053024026512015,0.00032536196518626975,0.0318873421819359,0.006396929473852551,0.0,0.0,0.019620456738501126,0.0030385415000799615,0.0011214354373598205,0.11142106990482442,0.0004792332268370607,0.002557136007671408,0.012244184012594018,0.0,0.2913304365818332,0.0010595090941197245,0.010097161364069346,0.0029498525073746312,0.012134759699824365,0.00032770768474520726,0.6194331983805668,0.30183852917665865,0.0,0.0022392834293026233,0.01881077634305755,0.24639076034648702,0.0220125786163522,0.00015931177314003505,0.132986751635083,0.005679974034404414,0.050630863798123586,0.0,0.07964912280701754,0.11368175765645806,0.0008907892392659896,0.36586151368760067,0.27899751449875726,0.9266610948600084,0.15451290748068588,0.002733558449911561,0.009995084384728821,0.004101161995898838,0.0017733354828308884,0.0022719896137617657,0.0026520802254268194,0.3480376256892637,0.001932367149758454,0.004959497437592991,0.00032589212970506764,0.07386636756929979,0.03208213025344883,0.005135612261274273,0.009553108808290155,0.08731241473396999,0.0412504028359652,0.012681159420289856,0.002733118971061093,0.02144281914893617,0.0209532949456174,0.009851033157135992,0.0,0.03613109512390088,0.5292890386775798,0.02359258054018874,0.15331844288449267,0.06192660550458716,0.73625843780135,0.0035871514756236752,0.5537790697674418,0.05016556291390729,0.012591648071405802,0.05562090404973954,0.4342897626638328,0.0011214354373598205,0.0011164274322169058,0.008334669017470748,0.009929532351057015,0.10787116447493807,0.0008265829062654984,0.0009722897423432182,0.018937570213448884,0.007015199599131452,0.007808764940239044,0.002770083102493075
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A_595427;g__Sutterella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008026970621287526,0.0,0.0004878842088144414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012921983524471006,0.0025489883702405607,0.0,0.0,0.0001595405232929164,0.00032690421706440013,0.003044871794871795,0.0,0.0,0.0,0.0,0.00032862306933946765,0.0004993342210386152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004138216428719222,0.0,0.0,0.0,0.0,0.0,0.0,0.00047961630695443646,0.0,0.0,0.0,0.0,0.0006620324395895399,0.0003186235462800701,0.0,0.0,0.0,0.0,0.0008771929824561404,0.00016644474034620507,0.0,0.00032206119162640903,0.0,0.0,0.00395703787450537,0.0,0.0,0.0,0.0006448492664839593,0.0,0.0031493452676943476,0.0,0.02109500805152979,0.00016531658125309968,0.0,0.0,0.0,0.0008024394158241052,0.0,0.0,0.0,0.0,0.0,0.0,0.0004798464491362764,0.0,0.0,0.0,0.0,0.0008135372600065083,0.0,0.0,0.0,0.00016305233980107615,0.0,0.0,0.000637551801083838,0.00016803898504453034,0.0,0.0,0.0,0.00048084628946946624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016294606485253382
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger_A_73129,0.0,0.00015943877551020407,0.0,0.00016520733520568312,0.0,0.0722293401665599,0.0001607717041800643,0.0,0.07718174539631706,0.0012993340912782199,0.00033467202141900936,0.0,0.0,0.0025645135438371533,0.0,0.0006421576497030021,0.0,0.0,0.0,0.13509192645883294,0.06861788617886179,0.00401412973667309,0.03408,0.0006423638991488678,0.05394589402913398,0.013895864724594007,0.0,0.0,0.09441295546558705,0.18907630522088353,0.011555127587867116,0.026135458167330677,0.000643707756678468,0.031297071129707116,0.051436969301110386,0.0,0.030535571542765788,0.16403988420714055,0.0008021819348628269,0.41578610310598785,0.16482105601027122,0.040809716599190284,0.18310087577035355,0.022106631989596878,0.01403755044744692,0.08123249299719888,0.004164664424155053,0.2648648648648649,0.010728582866293034,0.00639897616381379,0.25664425232148574,0.006065442936951317,0.02067517363915361,0.0025489883702405607,0.025172358505691838,0.05535114381698928,0.004307594128908743,0.015691402419091206,0.010576923076923078,0.011433305716652858,0.014315926468195867,0.07283910650696018,0.05405405405405406,0.0029576076240552087,0.011484687083888149,0.085075587005468,0.0662082200543739,0.1424223005446972,0.0004922874958976042,0.051916932907348244,0.12242288636726865,0.008745845723281442,0.0008164598301763554,0.0028967515001034555,0.019247748543174997,0.016574585635359115,0.0011471648639790233,0.0753632444515408,0.010650499754219236,0.006241565452091768,0.012789768185451638,0.12618245951579285,0.03358925143953935,0.0052606408417025345,0.09688803336541546,0.07795431976166832,0.006213159152461367,0.03840348817709207,0.07676079195066537,0.12245228081527014,0.12861528518338988,0.014385964912280702,0.005659121171770972,0.19508284339925175,0.020289855072463767,0.0006213753106876554,0.0002089427496865859,0.0011305822498586771,0.07798681460041808,0.0,0.002563226247436774,0.0,0.0,0.0,0.013460914693480376,0.00016103059581320451,0.039510662919490826,0.000977676389115203,0.28168562730331675,0.33237086942572985,0.00016048788316482104,0.0,0.0,0.15404447309055752,0.009881422924901186,0.0,0.0003324468085106383,0.0,0.001201345506967804,0.0,0.0,0.00016048788316482104,0.005043931012040351,0.045469049138481175,0.001310615989515072,0.0,0.003424099135822599,0.0,0.0,0.0,0.13695177281129223,0.0,0.09724447292534444,0.3929824561403509,0.042635037666292674,0.0008007687379884689,0.0,0.0,0.025603629881704747,0.01974000962927299,0.00033405712376816435,0.0,0.03552224213785237
d__Archaea;p__Methanobacteriota_A_1229;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A,0.0,0.00015943877551020407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001598721023181455,0.0,0.0,0.0,0.0,0.0,0.03917629331993973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05043227665706052,0.0,0.0,0.0,0.0,0.0,0.0,0.00016345210853220007,0.0,0.0,0.06979014153245486,0.01246358044674652,0.0,0.000985869208018403,0.0,0.0,0.0,0.0,0.042829012143091566,0.0,0.0,0.00034983382893125764,0.0,0.0,0.045029136500088295,0.0,0.0,0.0003193357815743254,0.049811568081271504,0.0010121457489878543,0.0,0.0,0.0,0.0,0.0008020532563362208,0.0,0.0,0.24383699480127452,0.03213242453748783,0.0,0.0,0.0,0.004993342210386152,0.0,0.0004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033063316250619935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028832292167227293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H_857956,0.030264211369095278,0.00031887755102040814,0.0003339455668725998,0.06178754336692549,0.0014349489795918368,0.005124919923126201,0.0001607717041800643,0.026054987212276216,0.0017614091273018414,0.010557089491635537,0.0,0.0003365303718660609,0.03966231283848359,0.04904632152588556,0.019425268903515813,0.00048161823727725157,0.19873150105708245,0.00032056419297964416,0.023166640038344784,0.01982414068745004,0.017235772357723576,0.044797687861271675,0.00096,0.006263048016701462,0.00016007683688170322,0.006696802276912774,0.002867611916520631,0.009907318632150847,0.0037246963562753035,0.0020883534136546186,0.004333172845450169,0.0012749003984063745,0.000160926939169617,0.3621757322175732,0.07495101241018942,0.0014432328415651058,0.000319744204636291,0.000321646831778707,0.21578694047810043,0.0019212295869356388,0.003209757663296421,0.07319838056680161,0.00048653908530651963,0.21472691807542263,0.08878750658010177,0.002142033283901796,0.002723049815793689,0.0011466011466011465,0.03362690152121697,0.0017597184450487923,0.0003202049311559398,0.006065442936951317,0.06670973994508157,0.6480802931336626,0.1750841750841751,0.1942089265717485,0.1276324186343331,0.3200392285060477,0.5185897435897436,0.00016570008285004143,0.0017894908085244834,0.06830689543541599,0.004957620342235727,0.06769635228393033,0.13348868175765646,0.0001608234158893535,0.0015992323684631377,0.012335789810958026,0.0,0.1584664536741214,0.1329710723989132,0.1565506384467378,0.08899412148922273,0.030829712393958205,0.0017658484901995409,0.020384835206706038,0.016224188790560472,0.04039597636915216,0.07553662133377027,0.033738191632928474,0.12358113509192646,0.03896103896103896,0.027191298784388994,0.25952494819065836,0.011870388193776067,0.4003641178417742,0.2759279910785407,0.09223545195371458,0.004219409282700422,0.02685215140731155,0.046049442559379546,0.14894736842105263,0.27413448735019974,0.024051309460181722,0.00322061191626409,0.00020712510356255177,0.012745507730881738,0.023742227247032222,0.48030229940504904,0.32656070784859903,0.3342447026657553,0.5508624858939223,0.0,0.0003315100281783524,0.015244891339604282,0.20805152979066022,0.04182509505703422,0.004073651621313346,0.0,0.002406159769008662,0.016209276199646926,0.12937176165803108,0.002728512960436562,0.005317434740573638,0.007081686429512516,0.0014469453376205787,0.12749335106382978,0.0,0.0028832292167227293,0.0,0.5550759392486011,0.00016048788316482104,0.07224210868857793,0.05264837268666241,0.035386631716906945,0.0001607200257152041,0.07891733246372086,0.0,0.21920529801324504,0.33519285941982785,0.08317929759704251,0.0,0.029477731496315284,0.04401913875598086,0.31110754928674467,0.00032030749519538755,0.010863350485991996,0.022317738469168458,0.05525846702317291,0.05584978334135773,0.007015199599131452,0.14916334661354583,0.007821411112921624
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016152479405588758,0.0,0.001122334455667789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001597444089456869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003231539828728389,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019193857965451055,0.0,0.0,0.0,0.005456588027603916,0.0,0.0,0.0,0.0,0.0009783140388064568,0.0009689922480620155,0.0008278145695364238,0.0004781638508128785,0.0003360779700890607,0.00017711654268508679,0.0019224607497596924,0.0001594896331738437,0.00032056419297964416,0.0,0.0003811701924909472,0.00016531658125309968,0.0,0.00016048788316482104,0.0,0.0009561752988047809,0.005214274075281082
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775,0.0036829463570856686,0.024553571428571428,0.1334112539656036,0.2058483396662812,0.041294642857142856,0.02274183215887252,0.20385852090032155,0.12228260869565218,0.03186549239391513,0.22169887932434626,0.0018406961178045514,0.048292108362779744,0.39710098757566104,0.05401506651707004,0.04382725959222989,0.25092310162144804,0.11140022767929744,0.02836993107869851,0.13005272407732865,0.02062350119904077,0.4221138211382114,0.3074823378291586,0.52256,0.3420587762967721,0.18520890027213063,0.013393604553825548,0.0017524295045403856,0.29194630872483224,0.10850202429149798,0.18859437751004016,0.2103996148290804,0.19697211155378486,0.09237206308336016,0.007698744769874477,0.033964728935336384,0.04201411161000641,0.08745003996802558,0.04438726278546156,0.06818546446334028,0.04899135446685879,0.10993419996790242,0.04987854251012146,0.04038274408044113,0.0858257477243173,0.008247060887875066,0.0196078431372549,0.12429921512093545,0.10761670761670762,0.002722177742193755,0.24188129899216126,0.17627281460134486,0.06911412609736632,0.010176062025520918,0.0015931177314003505,0.008818342151675485,0.00015997440409534473,0.0030312699425654116,0.008009153318077803,0.0003205128205128205,0.19386909693454846,0.07711078574914593,0.22418258336031077,0.11658403966096274,0.008872822872165627,0.0004993342210386152,0.0739787713091026,0.1324164401087478,0.056552387055430954,0.019855595667870037,0.002715654952076677,0.022215119066645358,0.004897673605037607,0.0011430437622468974,0.0037243947858473,0.06639590323150274,0.0032387121356448846,0.011635529334644379,0.058438448028101546,0.0180239226609864,0.06325910931174089,0.00847322142286171,0.05868205868205868,0.015355086372360844,0.006854774430097242,0.10763554700032082,0.030784508440913606,0.0020710530508204557,0.010397450947509643,0.04365465757870821,0.08314461339372371,0.054774600096946194,0.004561403508771929,0.009653794940079893,0.09816497416711206,0.022866344605475042,0.06938690969345485,0.0004178854993731718,0.0052760504993404934,0.0,0.029329837784696052,0.07946001367053998,0.09930678703852974,0.09607270366764038,0.10525443394662688,0.022056438533895557,0.01996779388083736,0.22830219871053067,0.12660909239041876,0.010895689793302356,0.013474494706448507,0.04429465575349061,0.34099740932642486,0.007276034561164165,0.07911698356429261,0.3412384716732543,0.14131832797427651,0.2160904255319149,0.6973768394113884,0.0679961556943777,0.0007266121707538601,0.0007993605115907274,0.03241855239929385,0.2561015294500488,0.03749202297383535,0.001474442988204456,0.0,0.0779390184249144,0.06492248062015504,0.03228476821192053,0.010360216767612368,0.0067215594017812135,0.000885582713425434,0.03524511374559436,0.01036682615629984,0.019714697868248116,0.0004804612427930814,0.0,0.006777979831377087,0.0004861448711716091,0.011555127587867116,0.028895941205946216,0.03553784860557769,0.013524523382760306
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,0.050760608486789434,0.0,0.0001669727834362999,0.00016520733520568312,0.0,0.0,0.03922829581993569,0.0012787723785166241,0.004323458767013611,0.0006496670456391099,0.0,0.008918054854450614,0.0,0.21461772719987177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07466281310211946,0.0,0.07017825598201381,0.0016007683688170323,0.020257826887661142,0.0,0.0,0.0,0.2962248995983936,0.0,0.0,0.0,0.0,0.0,0.0,0.0001598721023181455,0.0,0.0,0.0,0.0,0.0,0.032435939020434644,0.0,0.0,0.0,0.0,0.0,0.0,0.00047992321228603423,0.0004803073967339097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033140016570008286,0.0,0.002751699579151829,0.0,0.0,0.00016644474034620507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004138216428719222,0.0001765848490199541,0.0,0.0,0.004790036723614881,0.0,0.0,0.00047961630695443646,0.0,0.0019193857965451055,0.0,0.018768046198267566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050538525269262634,0.0,0.010363670623704541,0.0006431902235086027,0.0,0.0,0.00048363694986296955,0.0011359948068808828,0.0,0.0009730781706130393,0.0045088566827697265,0.005124814018846091,0.042203030796806255,0.0,0.0,0.0009629272989889263,0.00016191709844559586,0.0050022737608003635,0.0017724782468578795,0.0,0.0,0.0,0.0065579014715291106,0.27462758289284,0.0021798365122615805,0.0009592326139088729,0.0,0.0027660266840221284,0.0,0.0,0.023465123754419802,0.00016305233980107615,0.3381782945736434,0.0008278145695364238,0.0004781638508128785,0.000504116955133591,0.00035423308537017357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005010856856522465,0.0015936254980079682,0.07430340557275542
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141780,0.0009607686148919135,0.0,0.007012856904324595,0.0,0.005739795918367347,0.0043241511851377324,0.05144694533762058,0.0,0.0,0.0009745005684586649,0.00033467202141900936,0.0003365303718660609,0.0,0.0,0.002247551773960507,0.014930165355594799,0.0001626280696048138,0.004327616605225197,0.0033551685572775205,0.0,0.0,0.0,0.0,0.0,0.00016007683688170322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05053105889925973,0.0,0.0,0.001763951250801796,0.0007993605115907274,0.0,0.00032087277394513073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015997440409534473,0.0,0.0,0.0,0.0,0.003046336379669713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004806151874399231,0.0,0.0,0.000319642000958926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016041065126724414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076636288318144155,0.0,0.0003768607499528924,0.0,0.0,0.0,0.0019345477994518782,0.0004868549172346641,0.002486325211337643,0.0,0.0,0.0,0.009939709956004562,0.017625380547989105,0.0,0.0,0.05667098445595855,0.08503865393360618,0.0,0.0,0.042765273311897105,0.0,0.0,0.0,0.0,0.000319744204636291,0.0,0.0,0.0012763241863433313,0.0,0.0,0.01907712375672591,0.0,0.001986754966887417,0.0,0.0003360779700890607,0.0,0.002242870874719641,0.0,0.007853822728001282,0.0,0.0,0.00016531658125309968,0.0,0.0014443909484833895,0.0005010856856522465,0.0,0.0004888381945576015
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G_180878,0.006725380304243395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048038430744595676,0.0,0.0,0.0,0.0,0.0011219746754287546,0.0,0.0,0.0011383964872336966,0.0,0.0,0.0020783373301358913,0.0,0.0,0.0,0.0,0.0,0.0005022601707684581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016736401673640169,0.002122795558458524,0.0,0.0,0.0001608234158893535,0.0,0.0011207172590457894,0.0,0.008582995951417004,0.0,0.0,0.0012282856641516056,0.007909045971329708,0.0,0.0003276003276003276,0.0,0.007038873780195169,0.0,0.0,0.0009691487643353255,0.0,0.000801667468334135,0.0007998720204767237,0.0025526483726866626,0.008009153318077803,0.0027243589743589742,0.0,0.003090938669269562,0.0,0.003358387973772589,0.00016431153466973383,0.0036617842876165113,0.0,0.0019190788421557653,0.004005126561999359,0.0,0.008146964856230033,0.000159821000479463,0.00034983382893125764,0.00016329196603527107,0.0004138216428719222,0.0031785272823591734,0.0026671746999428463,0.0,0.0023950183618074404,0.0014746845813534328,0.0,0.0014388489208633094,0.000481000481000481,0.005438259756877799,0.0027100271002710027,0.00016041065126724414,0.0014895729890764648,0.0,0.000335401643468053,0.006004543979227524,0.0019411193788417987,0.0009694619486185168,0.002105263157894737,0.00033288948069241014,0.0,0.01465378421900161,0.0,0.0,0.0003768607499528924,0.00016079755587715066,0.0024578076355890547,0.000683526999316473,0.002095760116072868,0.0,0.0,0.0012974375608173856,0.0,0.000495949743759299,0.0,0.0,0.0012832852101379532,0.009950248756218905,0.0,0.0,0.003061553335481792,0.003787878787878788,0.0006430868167202572,0.0,0.0,0.0,0.0,0.000319744204636291,0.0,0.0006508298080052066,0.0004786215698787492,0.0,0.0,0.0,0.0,0.0,0.0,0.02486976978659049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008588559390698428,0.002888781896966779,0.017537998997828628,0.0,0.006354896529248819
