#SampleID	observed_features
SRR23478191	107
SRR23478195	52
SRR23478196	121
SRR23478197	57
SRR23478198	71
SRR23478199	111
SRR23478200	98
SRR23478201	71
SRR23478202	182
SRR23478203	155
SRR23478204	123
SRR23478205	121
SRR23478206	86
SRR23478207	158
SRR23478208	105
SRR23478209	162
SRR23478210	136
SRR23478211	57
SRR23478212	112
SRR23478213	175
SRR23478214	172
SRR23478215	130
SRR23478216	98
SRR23478217	87
SRR23478218	119
SRR23478220	233
SRR23478227	35
SRR23478228	122
SRR23478229	92
SRR23478230	106
SRR23478231	126
SRR23478232	122
SRR23478233	91
SRR23478234	184
SRR23478235	239
SRR23478236	104
SRR23478237	144
SRR23478238	164
SRR23478239	135
SRR23478240	151
SRR23478241	137
SRR23478242	150
SRR23478243	180
SRR23478244	223
SRR23478245	118
SRR23478246	107
SRR23478247	155
SRR23478248	175
SRR23478249	80
SRR23478250	198
SRR23478251	131
SRR23478252	99
SRR23478253	170
SRR23478254	89
SRR23478255	155
SRR23478256	126
SRR23478257	99
SRR23478258	185
SRR23478259	201
SRR23478260	163
SRR23478261	217
SRR23478262	212
SRR23478263	123
SRR23478264	184
SRR23478265	163
SRR23478266	74
SRR23478267	128
SRR23478268	187
SRR23478269	71
SRR23478270	170
SRR23478271	150
SRR23478272	190
SRR23478273	172
SRR23478274	150
SRR23478275	126
SRR23478276	319
SRR23478277	162
SRR23478278	189
SRR23478279	226
SRR23478280	113
SRR23478281	182
SRR23478282	160
SRR23478283	104
SRR23478284	144
SRR23478285	231
SRR23478286	257
SRR23478287	108
SRR23478288	203
SRR23478289	157
SRR23478290	245
SRR23478291	235
SRR23478292	186
SRR23478293	235
SRR23478294	128
SRR23492483	130
SRR23492508	117
SRR23492516	35
SRR23492517	168
SRR23492518	153
SRR23492520	156
SRR23492521	129
SRR23492522	126
SRR23492523	66
SRR23492524	121
SRR23492525	215
SRR23492530	120
SRR23492531	193
SRR23492532	104
SRR23492534	105
SRR23492545	150
SRR23492546	168
SRR23492547	83
SRR23492549	124
SRR23492550	198
SRR23492551	156
SRR23492553	123
SRR23492554	197
SRR23492555	77
SRR23492556	179
SRR23492560	130
SRR29856071	81
SRR29856073	76
SRR29856074	163
SRR29856077	153
SRR29856079	72
SRR29856080	52
SRR29856082	133
SRR29856083	28
SRR29856085	186
SRR29856086	88
SRR29856087	116
SRR29856088	125
SRR29856090	141
SRR29856091	123
SRR29856092	81
SRR29856093	61
SRR29856094	98
SRR29856095	107
SRR29856096	148
SRR29856097	130
SRR29856098	151
SRR29856099	57
SRR29856102	242
