#OTU ID	SRR23478191	SRR23478195	SRR23478196	SRR23478197	SRR23478198	SRR23478199	SRR23478200	SRR23478201	SRR23478202	SRR23478203	SRR23478204	SRR23478205	SRR23478206	SRR23478207	SRR23478208	SRR23478209	SRR23478210	SRR23478211	SRR23478212	SRR23478213	SRR23478214	SRR23478215	SRR23478216	SRR23478217	SRR23478218	SRR23478220	SRR23478227	SRR23478228	SRR23478229	SRR23478230	SRR23478231	SRR23478232	SRR23478233	SRR23478234	SRR23478235	SRR23478236	SRR23478237	SRR23478238	SRR23478239	SRR23478240	SRR23478241	SRR23478242	SRR23478243	SRR23478244	SRR23478245	SRR23478246	SRR23478247	SRR23478248	SRR23478249	SRR23478250	SRR23478251	SRR23478252	SRR23478253	SRR23478254	SRR23478255	SRR23478256	SRR23478257	SRR23478258	SRR23478259	SRR23478260	SRR23478261	SRR23478262	SRR23478263	SRR23478264	SRR23478265	SRR23478266	SRR23478267	SRR23478268	SRR23478269	SRR23478270	SRR23478271	SRR23478272	SRR23478273	SRR23478274	SRR23478275	SRR23478276	SRR23478277	SRR23478278	SRR23478279	SRR23478280	SRR23478281	SRR23478282	SRR23478283	SRR23478284	SRR23478285	SRR23478286	SRR23478287	SRR23478288	SRR23478289	SRR23478290	SRR23478291	SRR23478292	SRR23478293	SRR23478294	SRR23492483	SRR23492508	SRR23492516	SRR23492517	SRR23492518	SRR23492520	SRR23492521	SRR23492522	SRR23492523	SRR23492524	SRR23492525	SRR23492530	SRR23492531	SRR23492532	SRR23492534	SRR23492545	SRR23492546	SRR23492547	SRR23492549	SRR23492550	SRR23492551	SRR23492553	SRR23492554	SRR23492555	SRR23492556	SRR23492560	SRR29856071	SRR29856073	SRR29856074	SRR29856077	SRR29856079	SRR29856080	SRR29856082	SRR29856083	SRR29856085	SRR29856086	SRR29856087	SRR29856088	SRR29856090	SRR29856091	SRR29856092	SRR29856093	SRR29856094	SRR29856095	SRR29856096	SRR29856097	SRR29856098	SRR29856099	SRR29856102
d__Bacteria;__;__;__;__;__	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	5.0	29.0	0.0	6.0	21.0	22.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	116.0	0.0	0.0	0.0	3.0	1.0	4.0	0.0	0.0	0.0	26.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_737866;f__Enterobacteriaceae_A_725029;g__Escherichia	120.0	132.0	328.0	38.0	19.0	3186.0	1582.0	599.0	4.0	133.0	67.0	3507.0	330.0	63.0	14.0	112.0	11.0	2834.0	1090.0	33.0	27.0	81.0	7.0	1.0	3.0	3.0	3195.0	10.0	36.0	13.0	2.0	1.0	10.0	0.0	29.0	2.0	4.0	211.0	424.0	3.0	53.0	11.0	116.0	178.0	12.0	129.0	260.0	0.0	17.0	0.0	2.0	25.0	0.0	208.0	285.0	210.0	0.0	154.0	19.0	29.0	2.0	197.0	40.0	0.0	0.0	122.0	19.0	7.0	679.0	3.0	16.0	70.0	0.0	1408.0	6.0	53.0	18.0	76.0	2.0	3672.0	1888.0	0.0	14.0	118.0	1536.0	133.0	1.0	793.0	35.0	313.0	0.0	454.0	683.0	5.0	2272.0	1347.0	4435.0	820.0	17.0	61.0	24.0	11.0	14.0	16.0	2146.0	12.0	30.0	2.0	461.0	200.0	32.0	59.0	384.0	256.0	77.0	17.0	129.0	131.0	41.0	0.0	226.0	3298.0	145.0	961.0	378.0	4581.0	22.0	3429.0	303.0	79.0	331.0	2452.0	7.0	7.0	52.0	62.0	566.0	5.0	6.0	118.0	42.0	49.0	17.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A_595427;g__Sutterella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	16.0	0.0	0.0	1.0	2.0	19.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	4.0	0.0	19.0	0.0	131.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger_A_73129	0.0	1.0	0.0	1.0	0.0	451.0	1.0	0.0	482.0	8.0	2.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	845.0	422.0	25.0	213.0	4.0	337.0	83.0	0.0	0.0	583.0	1177.0	72.0	164.0	4.0	187.0	315.0	0.0	191.0	1020.0	5.0	2597.0	1027.0	252.0	1129.0	136.0	80.0	493.0	26.0	1617.0	67.0	40.0	1603.0	38.0	128.0	16.0	157.0	346.0	27.0	96.0	66.0	69.0	88.0	450.0	338.0	18.0	69.0	529.0	414.0	889.0	3.0	325.0	766.0	50.0	5.0	14.0	109.0	87.0	7.0	472.0	65.0	37.0	80.0	787.0	210.0	33.0	604.0	471.0	39.0	229.0	473.0	757.0	796.0	82.0	34.0	1095.0	126.0	3.0	1.0	6.0	485.0	0.0	15.0	0.0	0.0	0.0	83.0	1.0	239.0	6.0	1758.0	2072.0	1.0	0.0	0.0	956.0	60.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	31.0	285.0	8.0	0.0	21.0	0.0	0.0	0.0	815.0	0.0	607.0	2464.0	266.0	5.0	0.0	0.0	158.0	123.0	2.0	0.0	218.0
d__Archaea;p__Methanobacteriota_A_1229;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	429.0	77.0	0.0	6.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	2.0	0.0	0.0	255.0	0.0	0.0	2.0	304.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1454.0	198.0	0.0	0.0	0.0	30.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H_857956	189.0	2.0	2.0	374.0	9.0	32.0	1.0	163.0	11.0	65.0	0.0	2.0	249.0	306.0	121.0	3.0	1222.0	2.0	145.0	124.0	106.0	279.0	6.0	39.0	1.0	40.0	18.0	62.0	23.0	13.0	27.0	8.0	1.0	2164.0	459.0	9.0	2.0	2.0	1345.0	12.0	20.0	452.0	3.0	1321.0	506.0	13.0	17.0	7.0	210.0	11.0	2.0	38.0	413.0	4068.0	1092.0	1214.0	800.0	1958.0	3236.0	1.0	11.0	422.0	31.0	412.0	802.0	1.0	10.0	77.0	0.0	992.0	832.0	895.0	545.0	149.0	10.0	107.0	99.0	253.0	461.0	200.0	773.0	243.0	170.0	1628.0	74.0	2419.0	1732.0	550.0	26.0	166.0	285.0	849.0	1647.0	135.0	20.0	1.0	61.0	126.0	2987.0	1993.0	1956.0	3417.0	0.0	2.0	94.0	1292.0	253.0	25.0	0.0	15.0	101.0	799.0	12.0	33.0	43.0	9.0	767.0	0.0	12.0	0.0	3472.0	1.0	444.0	330.0	216.0	1.0	484.0	0.0	1324.0	2103.0	495.0	0.0	184.0	276.0	1941.0	2.0	57.0	135.0	341.0	348.0	42.0	936.0	48.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	6.0	6.0	5.0	3.0	2.0	1.0	12.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	6.0	32.0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775	23.0	154.0	799.0	1246.0	259.0	142.0	1268.0	765.0	199.0	1365.0	11.0	287.0	2493.0	337.0	273.0	1563.0	685.0	177.0	814.0	129.0	2596.0	1915.0	3266.0	2130.0	1157.0	80.0	11.0	1827.0	670.0	1174.0	1311.0	1236.0	574.0	46.0	208.0	262.0	547.0	276.0	425.0	306.0	685.0	308.0	249.0	528.0	47.0	119.0	776.0	657.0	17.0	1512.0	1101.0	433.0	63.0	10.0	55.0	1.0	19.0	49.0	2.0	1170.0	474.0	1385.0	729.0	54.0	3.0	460.0	828.0	353.0	121.0	17.0	139.0	28.0	7.0	18.0	376.0	17.0	71.0	366.0	110.0	375.0	53.0	366.0	96.0	43.0	671.0	186.0	13.0	62.0	269.0	514.0	339.0	26.0	58.0	551.0	142.0	335.0	2.0	28.0	0.0	179.0	465.0	616.0	592.0	635.0	136.0	124.0	1381.0	777.0	68.0	84.0	276.0	2106.0	32.0	491.0	2072.0	879.0	1300.0	4360.0	283.0	4.0	5.0	202.0	1574.0	235.0	9.0	0.0	478.0	402.0	195.0	65.0	40.0	5.0	220.0	65.0	123.0	3.0	0.0	41.0	3.0	72.0	173.0	223.0	83.0
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B	317.0	0.0	1.0	1.0	0.0	0.0	244.0	8.0	27.0	4.0	0.0	53.0	0.0	1339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465.0	0.0	437.0	10.0	121.0	0.0	0.0	0.0	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	30.0	0.0	0.0	3.0	0.0	12.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	55.0	4.0	0.0	0.0	3.0	7.0	0.0	6.0	28.0	31.0	259.0	0.0	0.0	6.0	1.0	22.0	11.0	0.0	0.0	0.0	41.0	1143.0	12.0	6.0	0.0	17.0	0.0	0.0	146.0	1.0	2094.0	5.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	456.0
d__Bacteria;p__Bacillota_A_368345;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141780	6.0	0.0	42.0	0.0	36.0	27.0	320.0	0.0	0.0	6.0	2.0	2.0	0.0	0.0	14.0	93.0	1.0	27.0	21.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	11.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	2.0	0.0	0.0	0.0	12.0	3.0	15.0	0.0	0.0	0.0	61.0	110.0	0.0	0.0	350.0	374.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	117.0	0.0	12.0	0.0	2.0	0.0	14.0	0.0	49.0	0.0	0.0	1.0	0.0	9.0	3.0	0.0	3.0
