	Group	Genus	Abundance(%)
0	High	Others	40.68
1	High	Akkermansia	15.57
2	High	Bacteroides_H_857956	9.72
3	High	Phocaeicola_A	6.51
4	High	Bifidobacterium_388775	6.37
5	High	Escherichia	5.92
6	High	Gemmiger_A_73129	5.14
7	High	Faecalibacterium	3.54
8	High	Ruminococcus_E	2.85
9	High	Blautia_A_141781	1.86
10	Low	Others	44.47
11	Low	Akkermansia	11.61
12	Low	Bifidobacterium_388775	11.23
13	Low	Blautia_A_141781	6.65
14	Low	Escherichia	5.37
15	Low	Streptococcus	4.32
16	Low	Gemmiger_A_73129	4.11
17	Low	Bacteroides_H_857956	3.65
18	Low	Faecalibacterium	3.64
19	Low	Phocaeicola_A	2.67
20	PIBD	Others	42.22
21	PIBD	Faecalibacterium	10.84
22	PIBD	Escherichia	10.69
23	PIBD	Bacteroides_H_857956	9.02
24	PIBD	Bifidobacterium_388775	7.24
25	PIBD	Phocaeicola_A	4.92
26	PIBD	Gemmiger_A_73129	3.56
27	PIBD	Blautia_A_141781	3.45
28	PIBD	Akkermansia	3.31
29	PIBD	Streptococcus	3.3
