Source,Target,Type,Weight,Sign,asso
Sutterella,Bacteroides_H_857956,Undirected,0.412593677704427,Positive,0.309907625054378
Sutterella,Odoribacter_865974,Undirected,0.430016246092882,Positive,0.350237040563899
Sutterella,Lentihominibacter,Undirected,0.193512925076258,Negative,-0.300842804038105
Gemmiger_A_73129,Collinsella,Undirected,0.508440552858912,Positive,0.516738619852696
Gemmiger_A_73129,Bariatricus,Undirected,0.460420345396167,Positive,0.417707592675217
Gemmiger_A_73129,Dorea_A,Undirected,0.469528168024377,Positive,0.437199270960854
Gemmiger_A_73129,Lentihominibacter,Undirected,0.490255231331721,Positive,0.480320541630645
Gemmiger_A_73129,Mediterraneibacter_A_155507,Undirected,0.517853868486529,Positive,0.535070215733189
Gemmiger_A_73129,Anaeromassilibacillus,Undirected,0.411263419987687,Positive,0.30677847871081
Gemmiger_A_73129,1_Aristaeellaceae(F),Undirected,0.409406988911765,Positive,0.302399790507463
Methanobrevibacter_A,1_CAG-508(F),Undirected,0.434987214236885,Positive,0.361521103848409
Methanobrevibacter_A,CAG-177,Undirected,0.418137406382073,Positive,0.322871844296439
Methanobrevibacter_A,Limivicinus,Undirected,0.415507653198452,Positive,0.316737393060838
Bacteroides_H_857956,Bifidobacterium_388775,Undirected,0.114921183429335,Negative,-0.566729023084257
Bacteroides_H_857956,Eubacterium_G_180878,Undirected,0.409691364783031,Positive,0.303071430376559
Bacteroides_H_857956,1_Christensenellales(O),Undirected,0.43801590860809,Positive,0.368347762044818
Bacteroides_H_857956,Streptococcus,Undirected,0.110809710066885,Negative,-0.581318743422674
Bacteroides_H_857956,Collinsella,Undirected,0.187960955007452,Negative,-0.318814821184819
Bacteroides_H_857956,Turicibacter,Undirected,0.160315079638886,Negative,-0.4101415309637
Bacteroides_H_857956,Faecalibacillus,Undirected,0.17322401974354,Negative,-0.36711704305806
Bacteroides_H_857956,Coprobacillus,Undirected,0.435697074701708,Positive,0.363124416999582
Bacteroides_H_857956,Alistipes_A_871400,Undirected,0.633093290490849,Positive,0.730758933034335
Bacteroides_H_857956,Blautia_A_141781,Undirected,0.142825508776649,Negative,-0.46949621680802
