Label,Id,cluster,degree,betweenness,closeness,eigenvector,abundance,phylum
Sutterella,1,1,0.0106382978723404,0,0.526809422838106,0.105145578237272,70,Pseudomonadota
Gemmiger_A_73129,2,2,0.0372340425531915,0.167105263157895,0.620745528937971,0.000615809107154316,16191,Bacillota_A_368345
Methanobrevibacter_A,3,3,0.0159574468085106,0.00131578947368421,0.456678003264996,0.0191957044452006,2785,Methanobacteriota_A_1229
Bacteroides_H_857956,4,1,0.122340425531915,0.0964912280701754,0.872304421153168,0.912476721080401,30354,Bacteroidota
Bifidobacterium_388775,5,2,0.0957446808510638,0.0212719298245614,0.756596131269496,0.000723536758538682,20069,Actinomycetota
Enterococcus_B,6,2,0.0159574468085106,0,0.500668339442893,9.32002165287448e-05,2244,Bacillota_I
Eubacterium_G_180878,7,1,0.0372340425531915,0.239035087719298,0.684093659358962,0.165705972011741,477,Bacillota_A_368345
1_Christensenellales(O),8,1,0.0319148936170213,0,0.615372605200365,0.320343156087029,298,Bacillota_A_368345
Gemella,9,2,0.0159574468085106,0,0.514514034980712,0.000135509338463771,136,Bacillota_I
Granulicatella,10,2,0.00531914893617021,0,0.474481785570242,4.59513792604773e-05,131,Bacillota_I
Streptococcus,11,2,0.117021276595745,0.134649122807018,0.762154212096821,0.000626751413362897,5768,Bacillota_I
Veillonella_A,12,1,0.0319148936170213,0.0425438596491228,0.517075978527714,0.0131144081924089,3190,Bacillota_C
Collinsella,13,2,0.0478723404255319,0.0388157894736842,0.635505541277395,0.000361179000426304,3919,Actinomycetota
Turicibacter,14,2,0.0372340425531915,0,0.576467721857496,0.000298437551082687,661,Bacillota_I
1_Eggerthellaceae(F),15,0,0,0,0,0,62,Actinomycetota
Ruminococcus_E,16,2,0.0319148936170213,0,0.568638242922501,0.000259415261518742,8912,Bacillota_A_368345
Faecalibacillus,17,2,0.0585106382978723,0.325,0.697611308733064,0.00143069764776757,2139,Bacillota_I
Thomasclavelia,18,2,0.0372340425531915,0.0410087719298246,0.542099307701802,0.000134500879121131,584,Bacillota_I
Coprobacillus,19,1,0.0106382978723404,0,0.537770517539874,0.129567673158798,69,Bacillota_I
Alistipes_A_871400,20,1,0.117021276595745,0.0745614035087719,0.857665152700388,1,10527,Bacteroidota
Eggerthella,21,2,0.0425531914893617,0,0.588975448354477,0.000332117314130812,397,Actinomycetota
Akkermansia,22,6,0.00531914893617021,0,0.372007254201463,0.00193082469316551,48164,Verrucomicrobiota
Faecalibacterium,23,1,0.0212765957446809,0.0548245614035088,0.575602607265848,0.0182300963215642,11091,Bacillota_A_368345
Blautia_A_141781,24,2,0.0851063829787234,0.141666666666667,0.756363059752805,0.000722814270920893,5858,Bacillota_A_368345
1_CAG-508(F),25,3,0.0265957446808511,0.0530701754385965,0.576830348443541,0.10180988181066,1891,Bacillota_A_368345
CAG-269,26,1,0.0265957446808511,0.000657894736842105,0.608838930646358,0.186503689410524,863,Bacillota_A_368345
Hominicoprocola,27,1,0.0957446808510638,0.111184210526316,0.775766767132856,0.627842912414794,1594,Bacillota_A_368345
Odoribacter_865974,28,1,0.0585106382978723,0.00131578947368421,0.696638209013609,0.608597918821877,389,Bacteroidota
Phocaeicola_A,29,1,0.111702127659574,0.182675438596491,0.86804254882103,0.926305009170914,20341,Bacteroidota
1_Oscillospiraceae_88309(F),30,1,0.0372340425531915,0,0.621577906942648,0.420929868400282,73,Bacillota_A_368345
Eubacterium_R,31,7,0.0106382978723404,0.00328947368421053,0.502081482269201,0.0282560329422827,2236,Bacillota_A_368345
Pauljensenia,32,2,0.0478723404255319,0,0.580668986781859,0.000371193323169019,101,Actinomycetota
Prevotella,33,5,0,0,0,0,4448,Bacteroidota
Parabacteroides_B_862066,34,1,0.0638297872340425,0.024780701754386,0.694419088222038,0.628661198582403,4529,Bacteroidota
Vescimonas,35,1,0.0585106382978723,0.0337719298245614,0.709049116501751,0.444084800240089,3866,Bacillota_A_368345
Alistipes_A_871404,36,1,0.0904255319148936,0.0081140350877193,0.760117884436853,0.811400308210065,1042,Bacteroidota
Limiplasma,37,8,0.0265957446808511,0.174122807017544,0.624730125906505,0.0782195754014449,646,Bacillota_A_368345
Clostridium_AP_143938,38,4,0.0106382978723404,0.000657894736842105,0.391925820673251,6.849589347019e-06,96,Bacillota_A_368345
Butyricimonas,39,1,0.0265957446808511,0,0.587594776742086,0.293308122080075,246,Bacteroidota
Anaerostipes,40,2,0.0585106382978723,0.0144736842105263,0.693344756514267,0.000573122025196718,2678,Bacillota_A_368345
Agathobaculum,41,1,0.0212765957446809,0.00197368421052632,0.5361318824895,0.0171976119769948,376,Bacillota_A_368345
Clostridium_T,42,2,0.0851063829787234,0.0333333333333333,0.711844641633341,0.000569975601165982,2329,Bacillota_A_368345
Barnesiella_B,43,1,0.074468085106383,0.00635964912280702,0.71678892962391,0.706294621788374,4248,Bacteroidota
Nanosynbacter,44,2,0.0106382978723404,0,0.483289444143537,7.6817274032468e-05,171,Patescibacteria
1_Chloroplast(C),45,4,0.0265957446808511,0.0407894736842105,0.513726032381723,8.6572782485931e-05,449,Cyanobacteriota
UBA5905,46,1,0.0691489361702128,0.00087719298245614,0.703215093757719,0.642885315959967,630,Bacillota_A_368345
Anaerotruncus,47,1,0.0319148936170213,0,0.589587785302228,0.323455367421335,173,Bacillota_A_368345
Dysosmobacter,48,1,0.0904255319148936,0.0171052631578947,0.77383657699434,0.814135638695505,1529,Bacillota_A_368345
