"Feature","MeanRelativeAbundance"
"Akkermansia",0.155730665121809
"Bacteroides_H_857956",0.0972068846564526
"Phocaeicola_A",0.0651034178522555
"Bifidobacterium_388775",0.0636732248481654
"Escherichia",0.0592329552957826
"Gemmiger_A_73129",0.0513759065353809
"Faecalibacterium",0.0354006061527685
"Alistipes_A_871400",0.0341461570943894
"Ruminococcus_E",0.0285386009748506
"Romboutsia_B",0.0267411410373397
"Blautia_A_141781",0.0185934638798577
"Streptococcus",0.0183158368482992
"Fimenecus",0.0163441199701504
"Agathobacter_164117",0.0161790739801524
"Prevotella",0.0148692655413332
"Parabacteroides_B_862066",0.0146040575888526
"Barnesiella_B",0.0137161631841745
"Vescimonas",0.012577200384002
"Collinsella",0.0124955354444672
"Veillonella_A",0.0103678910518062
"Mediterraneibacter_A_155507",0.00924746696920595
"Methanobrevibacter_A",0.00904295223835803
"Holdemanella",0.00862534897017136
"Anaerostipes",0.00853961287830322
"Intestinibacter",0.00807321822318649
"CAG-217",0.00804610659631225
"Clostridium_T",0.00745577483995418
"Enterococcus_B",0.00708929540036093
"Eubacterium_R",0.0070796738199336
"Faecalibacillus",0.00677916181862558
"Roseburia_A_166204",0.00667637640313936
"Dorea_A",0.0065892052146177
"1_CAG-508(F)",0.00627579689838131
"Eisenbergiella",0.00532486554260668
"Hominicoprocola",0.00531321810117143
"Hominimerdicola",0.00518394921227611
"Dysosmobacter",0.00494102329146204
"Ruthenibacterium",0.00493558861235997
"Faecousia",0.00404935341827371
"CAG-177",0.00362603338875558
"Alistipes_A_871404",0.00341267348723269
"Anaerobutyricum",0.00327489717269706
"Acetatifactor",0.00290278047820244
"Lentihominibacter",0.00289503308871978
"Dialister_37762",0.00278730756757278
"CAG-269",0.00278629750182767
"Fusicatenibacter",0.00260487592023377
"Hominilimicola",0.00240627405955388
"Bariatricus",0.00232821447543886
"Terrisporobacter",0.00216866045188502
"Turicibacter",0.00212058084003161
"Limiplasma",0.00207092192336152
"Faecalimonas",0.00205719763967884
"Eubacterium_F",0.00203332797877479
"UBA5905",0.00203304879537426
"Ruminiclostridium_E",0.00187459195803638
"Thomasclavelia",0.00185157469316091
"Lachnospira",0.00177137417759576
"Coprococcus_A_121497",0.00166807585594797
"1_Aristaeellaceae(F)",0.00163513228537854
"UMGS1071",0.00156706208417018
"Eubacterium_G_180878",0.00152805044948322
"2_CAG-508(F)",0.00149061214411545
"1_Chloroplast(C)",0.00143407753203412
"1_Anaerovoracaceae(F)",0.00137163891995071
"PeH17",0.00129998415035746
"Limivicinus",0.00127581995978739
"Odoribacter_865974",0.00127028137790265
"Eggerthella",0.0012557302909947
"Agathobaculum",0.00121337954813953
"Evtepia",0.00119434807901578
"Merdimmobilis",0.00119238281906415
"Haemophilus_D_735815",0.00117753365878276
"Lawsonibacter",0.00112207010087489
"Ventrisoma",0.00111063329486087
"Monoglobus",0.00110579910295613
"Onthenecus",0.00109270913117515
"Paludihabitans",0.00106019346795927
"Anaerotardibacter",0.00100526855262147
"Parasutterella_564865",0.000991763167651619
"1_Christensenellales(O)",0.000990720299982951
"Slackia",0.000989632586171418
"Enterocloster",0.000948292471418948
"UBA644",0.000910969236508826
"Hominenteromicrobium",0.000854789023715666
"Desulfovibrio_446353",0.00085406057235707
"1_Anaerotignaceae(F)",0.000830932316639381
"Clostridium_A_51961",0.000820452127400341
"Butyricimonas",0.00079294010493848
"Ruminococcus_B",0.000748096125575387
"Ruminococcus_C_58660",0.000658098582626347
"Anaeromassilibacillus",0.000654124352074857
"1_Lachnospiraceae(F)",0.000616769839838053
"SFMI01",0.000584908626440837
"Hungatella_A_128155",0.00056492496749504
"Anaerotruncus",0.000557453282571004
"Intestinimonas",0.000554042907124426
"Nanosynbacter",0.000541156145340723
"Massilistercora",0.000486671517794652
"Gordonibacter",0.000481697843499468
"Enterococcus_H_360604",0.000474107022445351
"SFLA01",0.000469971622797991
"Blautia_A_141893",0.000462246990943676
"1_Clostridia_258483(C)",0.000448529094303391
"RUG13077",0.000440327681742783
"Angelakisella",0.000436075203252108
"Gemella",0.000431980369205133
"Granulicatella",0.000416429639414429
"Huintestinicola",0.000416013495611427
"Lachnoclostridium_B",0.000407292611887281
"Oxalobacter",0.000404204083375066
"Acidaminococcus",0.000396772963022692
"Adlercreutzia_A_404257",0.000393131547357718
"1_Acutalibacteraceae(F)",0.000368194946045164
"UBA737",0.00033327713080224
"Coprococcus_A_187866",0.000328363909010318
"Pauljensenia",0.000325114120078031
"Hominibacterium",0.000321460160243443
"Clostridium_AP_143938",0.000307762162748317
"2_Anaerovoracaceae(F)",0.000305224316934507
"Christensenella",0.000303952097361482
"1_CAG-138(F)",0.000303450883791878
"Lacticaseibacillus",0.000283637804791685
"Merdimonas",0.000267153307042533
"Sellimonas",0.000255081782562484
"1_QAKW01(F)",0.000242809936364135
"Hominisplanchenecus_A",0.000240754052211852
"Dorea_D_146760",0.000237732422757484
"1_Oscillospiraceae_88309(F)",0.000234967993337968
"1_Bacteria(K)",0.00023349826861687
"2_Oscillospiraceae_88309(F)",0.000228685964890431
"Sutterella",0.000224080735134642
"Acutalibacter",0.000220596189488655
"Coprobacillus",0.00021965767489102
"Alitiscatomonas",0.000207407943534671
"1_Eggerthellaceae(F)",0.000197302651192669
"Anaerotignum_189125",0.000185863981588858
"2_Lachnospiraceae(F)",0.000184012883607765
"Limivivens",0.000177711439170701
"Eubacterium_I",0.000176852011387483
"Hydrogeniiclostridium",0.000168645952413737
"Holdemania",0.000161410419184585
"Pseudomonas_E_647464",0.000155151251279287
"1_Enterobacteriaceae_A_725029(F)",0.000148153191776909
"Negativibacillus",0.000142895384846929
"Clostridium_R_135822",0.000126111354510166
"1_Christensenellaceae(F)",0.000124404609263025
"Otoolea_134252",0.000122830426060146
"Lawsonella",0.000116673377261253
"1_UBA9973(F)",0.000116364089383664
"Dielma",0.00011622017051467
"1_Ruminococcaceae(F)",0.000113761506388857
"Schaedlerella",0.000111604098202845
"Lancefieldella",0.000108556472863451
"Muricomes_149720",0.000102599610164667
"Clostridium_AQ",0.000101176492733877
"Staphylococcus",9.83664862382985e-05
"Flavobacterium",9.27488839876962e-05
"Bulleidia",8.94645658934773e-05
"1_Mitochondria(F)",8.77062758949701e-05
"Porphyromonas_A",8.49682997342947e-05
"Fenollaria",8.34132592442696e-05
"Onthomonas",7.72773936281802e-05
"Merdibacter",7.51495705672608e-05
"Saccharimonas",7.26626239690579e-05
"1_Peptostreptococcaceae_256921(F)",6.68773667613634e-05
"Blautia_A_141780",6.64000677915168e-05
"Corynebacterium",6.46503739720847e-05
"UBA9973",4.17577629912437e-05
"Ezakiella",4.11714783086791e-05
"1_Coprobacillaceae(F)",4.1014557480327e-05
