"Source","Target","Type","Weight","Sign","asso"
"Escherichia","Gemmiger_A_73129","Undirected",0.178430091428433,"Negative",-0.349954229340585
"Escherichia","Blautia_A_141780","Undirected",0.432659667903821,"Positive",0.356249895153995
"Escherichia","Clostridium_AQ","Undirected",0.463015949038729,"Positive",0.423296258026446
"Escherichia","Granulicatella","Undirected",0.411660953260511,"Positive",0.307714332163338
"Escherichia","Collinsella","Undirected",0.177824581409909,"Negative",-0.351944837867584
"Escherichia","Thomasclavelia","Undirected",0.44782977259883,"Positive",0.39021607994348
"Escherichia","Coprobacillus","Undirected",0.412985776056975,"Positive",0.310828601777137
"Escherichia","Eggerthella","Undirected",0.428434842930251,"Positive",0.346626542447666
"Escherichia","Bariatricus","Undirected",0.174380740842097,"Negative",-0.36329432218489
"Escherichia","Enterocloster","Undirected",0.418839982514061,"Positive",0.324506068151485
"Gemmiger_A_73129","Blautia_A_141780","Undirected",0.151004412351664,"Negative",-0.441587015692687
"Gemmiger_A_73129","Clostridium_AQ","Undirected",0.155457958359108,"Negative",-0.426502520197932
"Gemmiger_A_73129","Gemella","Undirected",0.183541783763141,"Negative",-0.333208037721348
"Gemmiger_A_73129","Granulicatella","Undirected",0.193320215314767,"Negative",-0.301464550039629
"Gemmiger_A_73129","Ruminococcus_E","Undirected",0.409463059685536,"Positive",0.302532244248063
"Gemmiger_A_73129","Faecalibacillus","Undirected",0.45575022037655,"Positive",0.407584354759653
"Gemmiger_A_73129","Thomasclavelia","Undirected",0.149792288022597,"Negative",-0.445706307011699
"Gemmiger_A_73129","Eggerthella","Undirected",0.174735180416221,"Negative",-0.362124044885296
"Gemmiger_A_73129","Faecalibacterium","Undirected",0.451742096106274,"Positive",0.398826541636115
"Gemmiger_A_73129","Vescimonas","Undirected",0.409347982175055,"Positive",0.302260387678641
"Gemmiger_A_73129","Clostridium_AP_143938","Undirected",0.191416315668644,"Negative",-0.307615149133738
"Gemmiger_A_73129","Bariatricus","Undirected",0.458239496959605,"Positive",0.412991114690836
"Gemmiger_A_73129","Anaerobutyricum","Undirected",0.471193708489275,"Positive",0.440727812117348
"Gemmiger_A_73129","Dorea_A","Undirected",0.435855770822933,"Positive",0.363482577372427
