"Label","Id","cluster","degree","betweenness","closeness","eigenvector","abundance","phylum"
"Escherichia",1,2,0.0372340425531915,0.044114615543187,0.563724936639392,0.420621732517595,14377,"Pseudomonadota"
"Gemmiger_A_73129",2,3,0.0797872340425532,0.279323850752422,0.746535016545392,0.364134691019075,10857,"Bacillota_A_368345"
"Methanobrevibacter_A",3,4,0.00531914893617021,0,0.377732893512574,0.00156734044324432,796,"Methanobacteriota_A_1229"
"Bacteroides_H_857956",4,1,0.0425531914893617,0.0886415172129458,0.609028698834022,0.0396917887069808,9672,"Bacteroidota"
"Bifidobacterium_388775",5,2,0.0372340425531915,0.0422593279736137,0.644633106681251,0.456533497626589,29916,"Actinomycetota"
"Enterococcus_B",6,6,0.00531914893617021,0,0.335262156308877,0.00813986685551888,3019,"Bacillota_I"
"Blautia_A_141780",7,2,0.0531914893617021,0.00371057513914657,0.596695529438937,0.688432664685398,935,"Bacillota_A_368345"
"Eubacterium_G_180878",8,4,0.0159574468085106,0.01566687280973,0.501188269248756,0.0282517466723954,229,"Bacillota_A_368345"
"1_Christensenellales(O)",9,1,0.0159574468085106,0,0.443610769540948,0.00367168541133971,75,"Bacillota_A_368345"
"1_Lachnospiraceae(F)",10,0,0,0,0,0,531,"Bacillota_A_368345"
"Clostridium_AQ",11,2,0.0638297872340425,0.106575963718821,0.659081188960765,0.762991474683574,809,"Bacillota_I"
"Gemella",12,2,0.0425531914893617,0.015460729746444,0.604533766834296,0.572799022949169,1069,"Bacillota_I"
"Granulicatella",13,2,0.0638297872340425,0.0923520923520924,0.660514909212936,0.682579554815602,577,"Bacillota_I"
"Streptococcus",14,2,0.0638297872340425,0.297052154195011,0.7071392914043,0.723564302504278,11438,"Bacillota_I"
"Veillonella_A",15,2,0.0265957446808511,0.054421768707483,0.522434686164414,0.298741783190323,2453,"Bacillota_C"
"Enterococcus_H_360604",16,5,0.0159574468085106,0.0789527932385075,0.467161305427472,0.0821397288218394,1040,"Bacillota_I"
"Collinsella",17,3,0.00531914893617021,0,0.424340606240805,0.0185630415057401,4933,"Actinomycetota"
"Turicibacter",18,2,0.0212765957446809,0,0.56825033920756,0.160915515584033,1093,"Bacillota_I"
"Ruminococcus_E",19,3,0.0212765957446809,0.0140177283034426,0.548266905997279,0.0897232816091898,6068,"Bacillota_A_368345"
"Faecalibacillus",20,3,0.0531914893617021,0.0346320346320346,0.709867824805155,0.35689242792823,5211,"Bacillota_I"
"Thomasclavelia",21,2,0.0531914893617021,0.00185528756957328,0.648726713780183,0.781729758378723,4924,"Bacillota_I"
"Coprobacillus",22,2,0.00531914893617021,0,0.395830340825357,0.0440298164794197,650,"Bacillota_I"
"Bulleidia",23,2,0.0319148936170213,0.0020614306328592,0.521115264477538,0.330439896392774,152,"Bacillota_I"
"Alistipes_A_871400",24,1,0.0425531914893617,0.0667903525046382,0.561951807996926,0.0191179510302734,1197,"Bacteroidota"
"Eggerthella",25,2,0.0691489361702128,0.0632859204287776,0.668340048513044,0.762339229854234,4716,"Actinomycetota"
"Akkermansia",26,0,0,0,0,0,30710,"Verrucomicrobiota"
"Faecalibacterium",27,3,0.0531914893617021,0.059575345289631,0.67320586513341,0.291002611620704,9722,"Bacillota_A_368345"
"Blautia_A_141781",28,2,0.0265957446808511,0.0859616573902288,0.600102686369338,0.252132134582868,17741,"Bacillota_A_368345"
"1_CAG-508(F)",29,1,0.0212765957446809,0.0202020202020202,0.447512009000298,0.00283238743782565,1561,"Bacillota_A_368345"
"2_CAG-508(F)",30,1,0.00531914893617021,0,0.415058161859224,0.00203784722947399,182,"Bacillota_A_368345"
"CAG-269",31,3,0.0106382978723404,0,0.449283569747642,0.0326252917797782,1801,"Bacillota_A_368345"
"Hominicoprocola",32,1,0.0372340425531915,0.0770975056689342,0.542964494103803,0.0122822996728865,286,"Bacillota_A_368345"
"Phocaeicola_A",33,1,0.0212765957446809,0.0251494537208823,0.561437509250138,0.0404823990694176,7144,"Bacteroidota"
"Eubacterium_R",34,3,0.00531914893617021,0,0.462119437011463,0.0336825275910781,2234,"Bacillota_A_368345"
"Porphyromonas_A",35,1,0.0106382978723404,0.0202020202020202,0.305259294568048,4.42266183063549e-05,278,"Bacteroidota"
"Pauljensenia",36,2,0.0212765957446809,0.000618429189857761,0.480237695329334,0.184685899443177,402,"Actinomycetota"
"Prevotella",37,1,0.0265957446808511,0.00989486703772418,0.52033130690981,0.0135126281357241,194,"Bacteroidota"
"Parabacteroides_B_862066",38,1,0.0159574468085106,0,0.488938681383407,0.0115187248986559,570,"Bacteroidota"
"Vescimonas",39,1,0.0319148936170213,0.191094619666048,0.618805940565201,0.0493300733678256,252,"Bacillota_A_368345"
"Limiplasma",40,4,0.0212765957446809,0.0261801690373119,0.508549470079396,0.0145900011813244,338,"Bacillota_A_368345"
"Clostridium_AP_143938",41,2,0.0425531914893617,0.00185528756957328,0.583913466029174,0.500960263334802,397,"Bacillota_A_368345"
"Anaerostipes",42,3,0.0372340425531915,0.28447742733457,0.672059927930255,0.33494139835751,4522,"Bacillota_A_368345"
"Agathobaculum",43,4,0.0265957446808511,0.0247371675943105,0.528602610418601,0.0612554505630284,323,"Bacillota_A_368345"
"Clostridium_T",44,2,0.0372340425531915,0.0313337456194599,0.627557551299236,0.351348979855972,5632,"Bacillota_A_368345"
"Barnesiella_B",45,1,0.0106382978723404,0,0.447843207439501,0.00665203083503032,1177,"Bacteroidota"
"Nanosynbacter",46,2,0.0425531914893617,0.0020614306328592,0.605031972675026,0.488068270393671,157,"Patescibacteria"
"1_Chloroplast(C)",47,2,0.0159574468085106,0.0202020202020202,0.475392929587126,0.138858607487467,1381,"Cyanobacteriota"
"Bariatricus",48,3,0.0372340425531915,0.0397856112141826,0.600802951712331,0.178012606149842,778,"Bacillota_A_368345"
"Anaerobutyricum",49,3,0.0478723404255319,0.241393527107813,0.706025981680043,0.344870239004926,1423,"Bacillota_A_368345"
"Dorea_A",50,3,0.074468085106383,0.164089878375593,0.738539070965245,0.461723083324329,4572,"Bacillota_A_368345"
"Ruthenibacterium",51,7,0.0106382978723404,0.0593692022263451,0.483714197772114,0.0346705053387452,716,"Bacillota_A_368345"
"Hominimerdicola",52,3,0.0319148936170213,0.0267985982271697,0.5857358713459,0.119757513860618,2162,"Bacillota_A_368345"
"Romboutsia_B",53,2,0.0372340425531915,0.129251700680272,0.662454450431505,0.335380874545124,4116,"Bacillota_A_368345"
"Lentihominibacter",54,3,0.0585106382978723,0.107400535971965,0.688317055070196,0.32162498979194,1323,"Bacillota_A_368345"
"Terrisporobacter",55,2,0.0319148936170213,0,0.626132534358466,0.266116709641819,998,"Bacillota_A_368345"
"Intestinibacter",56,3,0.0478723404255319,0.023294166151309,0.669135157961,0.32448384513007,3082,"Bacillota_A_368345"
"Fusicatenibacter",57,3,0.0531914893617021,0.0191713048855906,0.687200014014809,0.325094037678394,2148,"Bacillota_A_368345"
"CAG-177",58,1,0.0159574468085106,0,0.439968931425491,0.00250482875733683,892,"Bacillota_A_368345"
"Enterocloster",59,6,0.0212765957446809,0.0597814883529169,0.444807333333956,0.0775347679434422,1456,"Bacillota_A_368345"
"Agathobacter_164117",60,3,0.0425531914893617,0.13440527726242,0.665162135699386,0.193460768730794,4687,"Bacillota_A_368345"
"Roseburia_A_166204",61,3,0.0372340425531915,0.0272108843537415,0.600660675304649,0.18246651123344,2256,"Bacillota_A_368345"
"Onthenecus",62,3,0.0372340425531915,0.0202020202020202,0.603918761717776,0.15576595382511,426,"Bacillota_A_368345"
"1_Enterobacteriaceae_A_725029(F)",63,5,0.0106382978723404,0.0399917542774686,0.370046677881008,0.0089543029214616,1188,"Pseudomonadota"
"Schaedlerella",64,2,0.0212765957446809,0.0202020202020202,0.495474359865234,0.246598873723212,135,"Bacillota_A_368345"
"Acetatifactor",65,1,0.00531914893617021,0,0.414534505043362,0.00202645786134672,67,"Bacillota_A_368345"
"Alitiscatomonas",66,2,0.0106382978723404,0,0.461952063795671,0.0938459336875117,114,"Bacillota_A_368345"
"1_Clostridiaceae_222000(F)",67,2,0.0106382978723404,0,0.47309937166253,0.183981826894375,69,"Bacillota_A_368345"
"Sellimonas",68,2,0.0425531914893617,0.0010307153164296,0.597139991590413,0.592838153884513,437,"Bacillota_A_368345"
"Lachnoclostridium_B",69,7,0.0159574468085106,0.0401978973407545,0.391704685763223,0.00374712914265021,558,"Bacillota_A_368345"
"Merdimonas",70,5,0.00531914893617021,0,0.258581331781036,0.000106355781493891,314,"Bacillota_A_368345"
"Mediterraneibacter_A_155507",71,3,0.0265957446808511,0.0212327355184498,0.606564146804239,0.200736183048616,4163,"Bacillota_A_368345"
"Faecalimonas",72,2,0.0159574468085106,0,0.49572957337585,0.280404962317756,720,"Bacillota_A_368345"
"Blautia_A_141893",73,3,0.0212765957446809,0.0202020202020202,0.522115170137321,0.0597478868968779,189,"Bacillota_A_368345"
"Fenollaria",74,1,0.0106382978723404,0.0399917542774686,0.359225268658933,0.000372360507382011,364,"Bacillota_A_368345"
"Limivicinus",75,1,0.0159574468085106,0.0593692022263451,0.453448411783381,0.00353785147412893,67,"Bacillota_A_368345"
"Acidaminococcus",76,6,0.0106382978723404,0.0202020202020202,0.348568448857858,0.00839832674926755,552,"Bacillota_C"
"Ruminococcus_B",77,2,0.0851063829787234,0.167182024324881,0.702366143753091,1,3330,"Bacillota_A_368345"
"1_Aristaeellaceae(F)",78,3,0.00531914893617021,0,0.486613292576355,0.038574946104742,135,"Bacillota_A_368345"
"Faecousia",79,1,0.0691489361702128,0.137909709338281,0.615057677425537,0.0194896897574107,303,"Bacillota_A_368345"
"Lachnospira",80,4,0.00531914893617021,0,0.386737155675446,0.00638401022189886,261,"Bacillota_A_368345"
"Dialister_37762",81,0,0,0,0,0,337,"Bacillota_C"
"Haemophilus_D_735815",82,2,0.0212765957446809,0.00329828901257473,0.505692978514584,0.193180541147893,1215,"Pseudomonadota"
"Lancefieldella",83,2,0.0159574468085106,0.000618429189857761,0.474437628429729,0.129879201084775,253,"Actinomycetota"
"Pseudomonas_E_647464",84,2,0.00531914893617021,0,0.454474109063967,0.0801631778594462,54,"Pseudomonadota"
"Nanogingivalis",85,2,0.00531914893617021,0,0.466678490176283,0.0759965769520265,30,"Patescibacteria"
"1_Coprobacillaceae(F)",86,5,0.00531914893617021,0,0.352742034832903,0.00863426716591863,131,"Bacillota_I"
"UBA5905",87,1,0.00531914893617021,0,0.396779440280989,0.00204547084515619,95,"Bacillota_A_368345"
"Dysosmobacter",88,1,0.00531914893617021,0,0.399080528144307,0.00209966808620141,117,"Bacillota_A_368345"
"Fimenecus",89,1,0.00531914893617021,0,0.39770443375699,0.00206735580737522,2204,"Bacillota_A_368345"
"Fusobacterium_C",90,0,0,0,0,0,27,"Fusobacteriota"
"UBA737",91,0,0,0,0,0,99,"Bacillota_A_368345"
"UBA644",92,1,0.0106382978723404,0,0.349583580854704,0.000587919496514619,82,"Bacillota_A_368345"
"Coprococcus_A_121497",93,1,0.0106382978723404,0,0.405295270732437,0.00273769967967096,104,"Bacillota_A_368345"
"Eubacterium_F",94,1,0.0106382978723404,0.0080395794681509,0.484657824090227,0.0140171815879534,150,"Bacillota_A_368345"
"Ezakiella",95,1,0.00531914893617021,0,0.253735167896069,4.77470874414573e-06,98,"Bacillota_A_368345"
"Hominilimicola",96,4,0.0106382978723404,0.00164914450628736,0.464389818112873,0.0271996364689833,2893,"Bacillota_A_368345"
"1_Mitochondria(F)",97,2,0.00531914893617021,0,0.373731198155881,0.0181902879933709,90,"Pseudomonadota"
"Adlercreutzia_A_404257",98,3,0.0106382978723404,0,0.44821137660044,0.0267245417699653,236,"Actinomycetota"
"Intestinimonas",99,0,0,0,0,0,41,"Bacillota_A_368345"
"Ruminococcus_C_58660",100,3,0.00531914893617021,0,0.426363596134106,0.0163345052524381,191,"Bacillota_A_368345"
"Massilistercora",101,5,0.0106382978723404,0.0202020202020202,0.309212961337781,0.000963147664167793,456,"Bacillota_A_368345"
"UMGS1071",102,2,0.00531914893617021,0,0.36662496756509,0.0263526032268063,426,"Bacillota_A_368345"
"Ventrisoma",103,7,0.00531914893617021,0,0.31141239685389,0.000394597313965331,181,"Bacillota_A_368345"
"Gordonibacter",104,7,0.00531914893617021,0,0.311252419433235,0.000393361060585858,226,"Actinomycetota"
"Anaerotardibacter",105,3,0.00531914893617021,0,0.385660972906666,0.00626086794037172,242,"Actinomycetota"
"Parasutterella_564865",106,6,0.00531914893617021,0,0.285046135701004,0.000956187572496596,514,"Pseudomonadota"
