"Feature","MeanRelativeAbundance"
"Akkermansia",0.11613872735223
"Bifidobacterium_388775",0.112281519153893
"Blautia_A_141781",0.0665269999191192
"Escherichia",0.0537445368326021
"Streptococcus",0.0432122891906139
"Gemmiger_A_73129",0.0411027491774397
"Bacteroides_H_857956",0.0364520640863477
"Faecalibacterium",0.0363669995134001
"Phocaeicola_A",0.0267179616143496
"Ruminococcus_E",0.0227735237063241
"Clostridium_T",0.0211022592673301
"Faecalibacillus",0.0194404533169294
"Collinsella",0.0185654334547929
"Thomasclavelia",0.0184537488727778
"Eggerthella",0.017672515612627
"Agathobacter_164117",0.017498767242851
"Dorea_A",0.0170937121914104
"Anaerostipes",0.0169076767271004
"Mediterraneibacter_A_155507",0.0156884107252668
"Romboutsia_B",0.0155105264728403
"Ruminococcus_B",0.0125133084604718
"Intestinibacter",0.0117603430826916
"Enterococcus_B",0.0112751707192024
"Hominilimicola",0.0108237180553677
"Monoglobus",0.00961449941782482
"Veillonella_A",0.0092700126223662
"Roseburia_A_166204",0.00872864286470395
"Hominimerdicola",0.00851256027300626
"Eubacterium_R",0.00840545285068639
"Fimenecus",0.00830983079602113
"Fusicatenibacter",0.00805705994084526
"CAG-269",0.00694757342849469
"1_CAG-508(F)",0.0059337032095763
"Enterocloster",0.00546941238591363
"Anaerobutyricum",0.00532865964621287
"1_Chloroplast(C)",0.00515580546685096
"Lentihominibacter",0.00496705104693533
"Haemophilus_D_735815",0.00470313567441598
"1_Enterobacteriaceae_A_725029(F)",0.00453148945140098
"Alistipes_A_871400",0.00447180060748408
"Barnesiella_B",0.00436769178359571
"Turicibacter",0.00413231130600516
"Gemella",0.00411840748116941
"Enterococcus_H_360604",0.00386963191701486
"Terrisporobacter",0.00376733466441621
"Blautia_A_141780",0.00350021504005329
"CAG-177",0.00339782416000007
"Methanobrevibacter_A",0.00309898155543606
"Clostridium_AQ",0.00302760827891399
"Bariatricus",0.00290623440668866
"Faecalimonas",0.00271233452795941
"Ruthenibacterium",0.00268756424533989
"Eisenbergiella",0.00268397122998084
"Coprobacillus",0.00242454875884258
"Granulicatella",0.00216916582547755
