"Source","Target","Type","Weight","Sign","asso"
"1_Bacteria(K)","Escherichia","Undirected",0.408729590594741,"Positive",0.300798605923476
"1_Bacteria(K)","Gemella","Undirected",0.423022943140044,"Positive",0.334194951714445
"1_Bacteria(K)","Anaerostipes","Undirected",0.190522337853876,"Negative",-0.31050817102711
"1_Bacteria(K)","Dysosmobacter","Undirected",0.192777146069118,"Negative",-0.303217471816636
"1_Bacteria(K)","Peptostreptococcus","Undirected",0.423337954682668,"Positive",0.334921770980863
"Escherichia","Gemella","Undirected",0.416246139423314,"Positive",0.318462860523631
"Escherichia","Faecalibacterium","Undirected",0.177407466810062,"Negative",-0.353316951319678
"Escherichia","Blautia_A_141781","Undirected",0.177266369510352,"Negative",-0.353781253477355
"Escherichia","Dorea_A","Undirected",0.173850071966158,"Negative",-0.365047407180645
"Gemmiger_A_73129","Clostridium_AQ","Undirected",0.182633554736157,"Negative",-0.336175811686502
"Gemmiger_A_73129","Granulicatella","Undirected",0.192939290303184,"Negative",-0.302693978272657
"Gemmiger_A_73129","Veillonella_A","Undirected",0.180446342230711,"Negative",-0.343336395926042
"Gemmiger_A_73129","Agathobaculum","Undirected",0.444864284960118,"Positive",0.383648675774318
"Gemmiger_A_73129","Bariatricus","Undirected",0.419469354700064,"Positive",0.325968339735281
"Gemmiger_A_73129","Dorea_A","Undirected",0.410225255575701,"Positive",0.304331501678505
"Gemmiger_A_73129","Mediterraneibacter_A_155507","Undirected",0.428759845430562,"Positive",0.347369371614969
"Gemmiger_A_73129","Hominilimicola","Undirected",0.414699262858989,"Positive",0.314846094204378
"Gemmiger_A_73129","Haemophilus_D_735815","Undirected",0.190784726181546,"Negative",-0.309658718762153
"Bacteroides_H_857956","Lactobacillus","Undirected",0.184164615125637,"Negative",-0.331174750426199
"Bacteroides_H_857956","Granulicatella","Undirected",0.140109262800495,"Negative",-0.478824159843017
"Bacteroides_H_857956","Streptococcus","Undirected",0.159796974624025,"Negative",-0.411882247701883
"Bacteroides_H_857956","Alistipes_A_871400","Undirected",0.481252722117939,"Positive",0.461802523379904
"Bacteroides_H_857956","Faecalibacterium","Undirected",0.476907760735723,"Positive",0.452749018442969
"Bacteroides_H_857956","Phocaeicola_A","Undirected",0.553133891850105,"Positive",0.600621362773932
"Bacteroides_H_857956","Parabacteroides_B_862066","Undirected",0.437500850391151,"Positive",0.367189413378643
"Bacteroides_H_857956","Dysosmobacter","Undirected",0.476403360151757,"Positive",0.451693117479258
"Bacteroides_H_857956","Dorea_A","Undirected",0.41029387915739,"Positive",0.304493382081522
"Bacteroides_H_857956","Ruthenibacterium","Undirected",0.424656863769319,"Positive",0.337960551184487
"Hydrotalea","Mesorhizobium_I","Undirected",0.473495022562299,"Positive",0.445585017466653
"Hydrotalea","Sphingomonas_L_486704","Undirected",0.477789926731011,"Positive",0.454593278752795
"Bifidobacterium_388775","Blautia_A_141781","Undirected",0.408612809707947,"Positive",0.300522382316943
"Bifidobacterium_388775","Intestinibacter","Undirected",0.454257656811234,"Positive",0.404330589701671
"Bifidobacterium_388775","Sellimonas","Undirected",0.419948996093328,"Positive",0.327081665733725
"Bifidobacterium_388775","Fusobacterium_C","Undirected",0.184788635618738,"Negative",-0.329139137232718
"Enterococcus_B","Streptococcus","Undirected",0.424577184832765,"Positive",0.337777167570029
"Enterococcus_B","Enterococcus_H_360604","Undirected",0.489422953615075,"Positive",0.478622159409692
"Enterococcus_B","1_Peptostreptococcaceae_256921(F)","Undirected",0.4108796337989,"Positive",0.305874388254164
"Enterococcus_B","Faecalibacterium","Undirected",0.168845540267084,"Negative",-0.381635471867832
"Enterococcus_B","Blautia_A_141781","Undirected",0.185919687726722,"Negative",-0.325453509661915
"Enterococcus_B","Clostridium_T","Undirected",0.410276468563532,"Positive",0.304452312940202
"Enterococcus_B","Mediterraneibacter_A_155507","Undirected",0.151801908867205,"Negative",-0.438880003602633
"Enterococcus_B","UMGS1071","Undirected",0.181820047925776,"Negative",-0.338836867952359
