"Label","Id","cluster","degree","betweenness","closeness","eigenvector","abundance","phylum"
"1_Bacteria(K)",1,5,0.0159574468085106,0.000925925925925926,0.381952174406141,0.000502422798251406,210,"__"
"Escherichia",2,5,0.0106382978723404,0,0.366767805355914,0.000470087056351004,30130,"Pseudomonadota"
"Gemmiger_A_73129",3,1,0.0265957446808511,0.000308641975308642,0.558780293928122,0.415493036292816,10823,"Bacillota_A_368345"
"Bacteroides_H_857956",4,1,0.0372340425531915,0.0759259259259259,0.62897756402025,0.676888830561506,27198,"Bacteroidota"
"Hydrotalea",5,11,0,0,0,0,126,"Bacteroidota"
"Bifidobacterium_388775",6,3,0.0159574468085106,0.000308641975308642,0.53072617084572,0.029955387840648,21583,"Actinomycetota"
"Enterococcus_B",7,2,0.0212765957446809,0.0558641975308642,0.540186418903772,0.00575154647695789,4619,"Bacillota_I"
"Blautia_A_141780",8,3,0.0478723404255319,0.109567901234568,0.657197558463669,0.056569971759351,1450,"Bacillota_A_368345"
"Eubacterium_G_180878",9,1,0.0106382978723404,0,0.501384389366976,0.18689292514579,625,"Bacillota_A_368345"
"Lactobacillus",10,9,0,0,0,0,5406,"Bacillota_I"
"1_Lachnospiraceae(F)",11,3,0.0265957446808511,0.00864197530864197,0.568648821802409,0.0227474685441917,882,"Bacillota_A_368345"
"Clostridium_AQ",12,3,0.0265957446808511,0.000308641975308642,0.566026320143274,0.0242667200761324,581,"Bacillota_I"
"Gemella",13,5,0.0212765957446809,0.0475308641975309,0.47088970702821,0.00296464701526954,1121,"Bacillota_I"
"Granulicatella",14,5,0.0425531914893617,0.0453703703703704,0.606447100196153,0.011869558651531,801,"Bacillota_I"
"Streptococcus",15,5,0.0372340425531915,0.041358024691358,0.586640968874227,0.00975399475635688,9467,"Bacillota_I"
"Veillonella_A",16,5,0.0319148936170213,0.0725308641975309,0.605543982136869,0.0146624332403967,6580,"Bacillota_C"
"Lactococcus_A_346120",17,2,0.00531914893617021,0,0.331044817694119,0.000127957561994276,397,"Bacillota_I"
"Enterococcus_H_360604",18,2,0.0106382978723404,0.0246913580246914,0.42212435691307,0.000936809637129563,781,"Bacillota_I"
"Collinsella",19,1,0.0372340425531915,0.0623456790123457,0.631760898088131,0.482076368353865,5825,"Actinomycetota"
"Turicibacter",20,2,0.0106382978723404,0,0.507085002112715,0.010811994640496,980,"Bacillota_I"
"Ruminococcus_E",21,4,0.0106382978723404,0.000617283950617284,0.444426341051235,0.0748131172601027,4269,"Bacillota_A_368345"
"Faecalibacillus",22,1,0.00531914893617021,0,0.461788436456445,0.129359305998204,2199,"Bacillota_I"
"Thomasclavelia",23,5,0.0265957446808511,0.0203703703703704,0.606512610776747,0.0188001950267349,1181,"Bacillota_I"
"Alistipes_A_871400",24,1,0.0425531914893617,0.0790123456790123,0.586064095993488,0.358791864220085,2868,"Bacteroidota"
"Holdemanella",25,7,0.0106382978723404,0.0246913580246914,0.456281974778396,0.0678428846831373,2816,"Bacillota_I"
"1_Peptostreptococcaceae_256921(F)",26,2,0.0159574468085106,0,0.520289342566557,0.00592306994402075,106,"Bacillota_A_368345"
"Eggerthella",27,3,0.0265957446808511,0.0518518518518519,0.619846117814764,0.0462841547419905,2553,"Actinomycetota"
