"Feature","MeanRelativeAbundance"
"Faecalibacterium",0.108365623927971
"Escherichia",0.106916961303719
"Bacteroides_H_857956",0.0902394647846169
"Bifidobacterium_388775",0.0724304650825075
"Phocaeicola_A",0.0491657772743577
"Gemmiger_A_73129",0.0355879670200916
"Blautia_A_141781",0.0344603853196831
"Akkermansia",0.0331397019856613
"Streptococcus",0.0330127580145575
"Haemophilus_D_735815",0.0268755629196518
"Veillonella_A",0.0230856585243242
"Clostridium_T",0.0195878388830636
"Collinsella",0.0195057939329129
"Lactobacillus",0.0179996078157389
"Enterococcus_B",0.0173741610205519
"Ruminococcus_E",0.0144323443322739
"Dorea_A",0.0137676893723397
"Ruminococcus_B",0.0134296985307097
"Fusobacterium_C",0.0130695602225056
"Parasutterella_564865",0.0100018969419521
"Alistipes_A_871400",0.00962593980050089
"Mediterraneibacter_A_155507",0.00929995755955553
"Holdemanella",0.00929955115478461
"Anaerostipes",0.00871447918847255
"Eggerthella",0.00849811486699874
"Bariatricus",0.00822267138943184
"Eubacterium_R",0.00818519031210264
"Romboutsia_B",0.00770088232715387
"Agathobacter_164117",0.00742473620095371
"Faecalibacillus",0.00726108680871692
"Dialister_37762",0.00678016758795559
"Parabacteroides_B_862066",0.00627872839843908
"Enterocloster",0.00607549126468054
"Prevotella",0.00578231141794303
"Roseburia_A_166204",0.00572592215595642
"Faecalimonas",0.00548042604913982
"1_Clostridiaceae_222000(F)",0.00537576176278984
"Blautia_A_141780",0.00532001162882849
"CAG-217",0.00503814866109303
"Thomasclavelia",0.00429282295381731
"Gemella",0.00389179670254127
"Intestinibacter",0.00376742860407813
"Agathobaculum",0.00362210815864575
"Vescimonas",0.00360809437880846
"Clostridium_AP_143938",0.00333878507689975
"Turicibacter",0.00332578845056638
"Ruthenibacterium",0.00311954895791417
"1_Lachnospiraceae(F)",0.00308715310491791
"Hominilimicola",0.00299277831721748
"Granulicatella",0.00288108766350916
"Enterococcus_H_360604",0.00283234990263685
"Eisenbergiella",0.00278126546728235
"Sellimonas",0.00250216777621716
"Clostridium_AQ",0.00244736488976118
"Acidaminococcus",0.00231547169529803
"UMGS1071",0.00221904392233251
"Eubacterium_G_180878",0.00209463631980975
"Lentihominibacter",0.00207962855801053
"Dysosmobacter",0.00192619188506214
"Dialister_36337",0.00188657096687483
"Schaedlerella",0.00185307621787974
"Lachnoclostridium_B",0.00183785158401018
"Hungatella_A_128155",0.00154713747833035
"Barnesiella_B",0.00144446286707934
"Peptostreptococcus",0.00139237638348201
"Lactococcus_A_346120",0.00132028172616272
"Lachnospira",0.00125774820578913
"Alitiscatomonas",0.00125591619085525
"Onthenecus",0.00121494690402488
"Anaerotruncus",0.00114340875469808
"Anaerobutyricum",0.00113003710083374
"Hominicoprocola",0.00111958363227413
"Terrisporobacter",0.00108759929460597
"Blautia_A_141893",0.00100287877665648
"Pauljensenia",0.00100278137544336
"Hominimerdicola",0.000990357664104053
"Lancefieldella",0.000967436307844246
"Hominenteromicrobium",0.000914555662587839
"1_CAG-508(F)",0.00090673830468514
"Merdimmobilis",0.000861717019549263
"Fimenecus",0.000810309775481711
"Lawsonibacter",0.000767100178391452
"Anaerotignum_189125",0.000765456863332889
"Ruminococcus_C_58660",0.000744244248876631
"Odoribacter_865974",0.000731538026281627
"Anaeromassilibacillus",0.000714684553268403
"1_Bacteria(K)",0.000702898503562972
"Clostridium_R_135822",0.00067773117730486
"Sutterella",0.000674324017108394
"Fusicatenibacter",0.000660568858033157
"Porphyromonas_A",0.000646607878352658
"Lawsonella",0.000576796923710691
"Acutalibacter",0.000564941865612684
"Otoolea_134252",0.000561774505776713
"CAG-177",0.00053935369568062
"Staphylococcus",0.000511772447996263
"Longicatena",0.000510150609338342
"Merdimonas",0.00050552544284681
"Limivicinus",0.000469365857498656
"CAG-269",0.000466371164084128
"Dielma",0.000439378091159067
"Nanosynbacter",0.000433492732415004
"1_Peptostreptococcaceae_256921(F)",0.000424711072591908
"Hydrotalea",0.00041678350308263
"Evtepia",0.000413038729113184
"Holdemania",0.000403927850762366
"Hominibacterium",0.000392532265088189
"Eubacterium_F",0.000380743762746694
"Faecousia",0.000357067828814273
"Limiplasma",0.000344177883133599
"Eubacterium_I",0.000334346688494684
"Sphingomonas_L_486704",0.000331077692338931
"Gordonibacter",0.00031722132608187
"Acetatifactor",0.00030797890142296
"Flavobacterium",0.000305391529849211
"Peptoniphilus_A",0.000296548598694075
"Lacticaseibacillus",0.000295492593707137
"Negativibacillus",0.000279636302426003
"1_Anaerotignaceae(F)",0.000265791629481311
"Hydrogeniiclostridium",0.000262915871633698
"Massilistercora",0.000254751598415061
"Dorea_D_146760",0.000232047467943491
"Parvimonas",0.000231311746901817
"Mesorhizobium_I",0.000229078884432281
"1_Chloroplast(C)",0.000215384486391139
"Alistipes_A_871404",0.000211356065341933
"Finegoldia",0.000196504118843115
"2_Oscillospiraceae_88309(F)",0.000195097638695187
"Intestinimonas",0.000192572936107457
"Anaerofustis",0.000192468611303394
"1_Enterobacteriaceae_A_725029(F)",0.000189740752475484
"Coprococcus_A_187866",0.000189232151078532
"Bulleidia",0.000183165745161293
"Ruminiclostridium_E",0.000180531614930151
"Merdibacter",0.000172540155589622
"Paludihabitans",0.000162398483488493
"Butyricimonas",0.000150162850979374
"1_Oscillospiraceae_88309(F)",0.000143543196300862
"Coprobacillus",0.000143209073803094
"1_Ruminococcaceae(F)",0.000142742700351951
"Christensenella",0.000140655289949729
"1_Acutalibacteraceae(F)",0.000134051307670085
"Saccharimonas",0.000128054183226279
