,Source,Target,Type,Weight,Sign,asso,group
0,Sutterella,Bacteroides_H_857956,Undirected,0.412593677704427,Positive,0.309907625054378,high_edge
1,Sutterella,Odoribacter_865974,Undirected,0.430016246092882,Positive,0.350237040563899,high_edge
2,Sutterella,Lentihominibacter,Undirected,0.193512925076258,Negative,-0.300842804038105,high_edge
3,Gemmiger_A_73129,Collinsella,Undirected,0.508440552858912,Positive,0.516738619852696,high_edge
4,Gemmiger_A_73129,Bariatricus,Undirected,0.460420345396167,Positive,0.417707592675217,high_edge
5,Gemmiger_A_73129,Dorea_A,Undirected,0.469528168024377,Positive,0.437199270960854,high_edge
6,Gemmiger_A_73129,Lentihominibacter,Undirected,0.490255231331721,Positive,0.480320541630645,high_edge
7,Gemmiger_A_73129,Mediterraneibacter_A_155507,Undirected,0.517853868486529,Positive,0.535070215733189,high_edge
8,Gemmiger_A_73129,Anaeromassilibacillus,Undirected,0.411263419987687,Positive,0.30677847871081,high_edge
9,Gemmiger_A_73129,1_Aristaeellaceae(F),Undirected,0.409406988911765,Positive,0.302399790507463,high_edge
10,Methanobrevibacter_A,1_CAG-508(F),Undirected,0.434987214236885,Positive,0.361521103848409,high_edge
11,Methanobrevibacter_A,CAG-177,Undirected,0.418137406382073,Positive,0.322871844296439,high_edge
12,Methanobrevibacter_A,Limivicinus,Undirected,0.415507653198452,Positive,0.316737393060838,high_edge
13,Bacteroides_H_857956,Bifidobacterium_388775,Undirected,0.114921183429335,Negative,-0.566729023084257,high_edge
14,Bacteroides_H_857956,Eubacterium_G_180878,Undirected,0.409691364783031,Positive,0.303071430376559,high_edge
15,Bacteroides_H_857956,1_Christensenellales(O),Undirected,0.43801590860809,Positive,0.368347762044818,high_edge
16,Bacteroides_H_857956,Streptococcus,Undirected,0.110809710066885,Negative,-0.581318743422674,high_edge
17,Bacteroides_H_857956,Collinsella,Undirected,0.187960955007452,Negative,-0.318814821184819,high_edge
18,Bacteroides_H_857956,Turicibacter,Undirected,0.160315079638886,Negative,-0.4101415309637,high_edge
19,Bacteroides_H_857956,Faecalibacillus,Undirected,0.17322401974354,Negative,-0.36711704305806,high_edge
20,Bacteroides_H_857956,Coprobacillus,Undirected,0.435697074701708,Positive,0.363124416999582,high_edge
21,Bacteroides_H_857956,Alistipes_A_871400,Undirected,0.633093290490849,Positive,0.730758933034335,high_edge
22,Bacteroides_H_857956,Blautia_A_141781,Undirected,0.142825508776649,Negative,-0.46949621680802,high_edge
23,Bacteroides_H_857956,Odoribacter_865974,Undirected,0.528819994847792,Positive,0.55597880548953,high_edge
24,Bacteroides_H_857956,Phocaeicola_A,Undirected,0.754812271841005,Positive,0.879765955920461,high_edge
25,Bacteroides_H_857956,1_Oscillospiraceae_88309(F),Undirected,0.427699887922405,Positive,0.344945163431944,high_edge
26,Bacteroides_H_857956,Pauljensenia,Undirected,0.182080176215527,Negative,-0.337985676279245,high_edge
27,Bacteroides_H_857956,Parabacteroides_B_862066,Undirected,0.480484672916835,Positive,0.460207649851344,high_edge
28,Bacteroides_H_857956,Vescimonas,Undirected,0.417449991110257,Positive,0.32127097428512,high_edge
29,Bacteroides_H_857956,Alistipes_A_871404,Undirected,0.503434203770966,Positive,0.50684482003085,high_edge
30,Bacteroides_H_857956,Anaerostipes,Undirected,0.174832819054599,Negative,-0.36180175301876,high_edge
31,Bacteroides_H_857956,Clostridium_T,Undirected,0.120200927265223,Negative,-0.548092816769948,high_edge
32,Bacteroides_H_857956,Barnesiella_B,Undirected,0.470941002203017,Positive,0.440193153700105,high_edge
33,Bacteroides_H_857956,UBA5905,Undirected,0.467205454962189,Positive,0.432259945555904,high_edge
34,Bacteroides_H_857956,Anaerotruncus,Undirected,0.444362165389783,Positive,0.382533193499338,high_edge
35,Bacteroides_H_857956,Dysosmobacter,Undirected,0.537707985723276,Positive,0.572572187071938,high_edge
36,Bacteroides_H_857956,Merdimmobilis,Undirected,0.47829521189359,Positive,0.455648228133692,high_edge
37,Bacteroides_H_857956,Anaerobutyricum,Undirected,0.172042522957109,Negative,-0.371027167582458,high_edge
38,Bacteroides_H_857956,Dorea_A,Undirected,0.133971412158948,Negative,-0.500011029915933,high_edge
39,Bacteroides_H_857956,Romboutsia_B,Undirected,0.132076041078446,Negative,-0.506583996940128,high_edge
40,Bacteroides_H_857956,Lentihominibacter,Undirected,0.169383891674794,Negative,-0.379846238818623,high_edge
41,Bacteroides_H_857956,Terrisporobacter,Undirected,0.179592226079401,Negative,-0.346137831018706,high_edge
42,Bacteroides_H_857956,Intestinibacter,Undirected,0.162714211011868,Negative,-0.402094984882959,high_edge
43,Bacteroides_H_857956,Enterocloster,Undirected,0.426593553425271,Positive,0.342410094053085,high_edge
44,Bacteroides_H_857956,1_Anaerotignaceae(F),Undirected,0.411341683212235,Positive,0.306962772153191,high_edge
45,Bacteroides_H_857956,Hominibacterium,Undirected,0.183568175367922,Negative,-0.333121848544127,high_edge
46,Bacteroides_H_857956,Acetatifactor,Undirected,0.456322160246063,Positive,0.408828813120985,high_edge
47,Bacteroides_H_857956,Lawsonibacter,Undirected,0.531134233821349,Positive,0.560329786611413,high_edge
48,Bacteroides_H_857956,Blautia_A_141893,Undirected,0.18796386307491,Negative,-0.318805375344448,high_edge
49,Bacteroides_H_857956,Eubacterium_F,Undirected,0.437849068760032,Positive,0.367972661012074,high_edge
50,Bacteroides_H_857956,Parasutterella_564865,Undirected,0.432423708811563,Positive,0.355714307361557,high_edge
51,Bacteroides_H_857956,UMGS1071,Undirected,0.409628195802632,Positive,0.30292226561749,high_edge
52,Bifidobacterium_388775,Eubacterium_G_180878,Undirected,0.183724957759752,Negative,-0.332609889168638,high_edge
53,Bifidobacterium_388775,1_Christensenellales(O),Undirected,0.192990132288293,Negative,-0.302529853168133,high_edge
54,Bifidobacterium_388775,Streptococcus,Undirected,0.585997900437038,Positive,0.657204523114919,high_edge
55,Bifidobacterium_388775,Collinsella,Undirected,0.448283186998559,Positive,0.391217116503066,high_edge
56,Bifidobacterium_388775,Turicibacter,Undirected,0.470131672214036,Positive,0.438479110418612,high_edge
57,Bifidobacterium_388775,Ruminococcus_E,Undirected,0.410244789672282,Positive,0.304377583782619,high_edge
