,Label,Id_high,cluster_high,degree_high,betweenness_high,closeness_high,eigenvector_high,abundance_high,Id_low,cluster_low,degree_low,betweenness_low,closeness_low,eigenvector_low,abundance_low,Id_pibd,cluster_pibd,degree_pibd,betweenness_pibd,closeness_pibd,eigenvector_pibd,abundance_pibd,phylum
135,Sutterella,1.0,I,0.0106382978723404,0.0,0.526809422838106,0.105145578237272,70.0,,,,,,,,,,,,,,,Pseudomonadota
79,Gemmiger_A_73129,2.0,II,0.0372340425531915,0.167105263157895,0.620745528937971,0.0006158091071543,16191.0,2.0,III,0.0797872340425532,0.279323850752422,0.746535016545392,0.364134691019075,10857.0,3.0,I,0.0265957446808511,0.0003086419753086,0.558780293928122,0.415493036292816,10823.0,Bacillota_A_368345
108,Methanobrevibacter_A,3.0,III,0.0159574468085106,0.0013157894736842,0.456678003264996,0.0191957044452006,2785.0,3.0,IV,0.0053191489361702,0.0,0.377732893512574,0.0015673404432443,796.0,,,,,,,,Methanobacteriota_A_1229
35,Bacteroides_H_857956,4.0,I,0.122340425531915,0.0964912280701754,0.872304421153168,0.912476721080401,30354.0,4.0,I,0.0425531914893617,0.0886415172129458,0.609028698834022,0.0396917887069808,9672.0,4.0,I,0.0372340425531915,0.0759259259259259,0.62897756402025,0.676888830561506,27198.0,Bacteroidota
38,Bifidobacterium_388775,5.0,II,0.0957446808510638,0.0212719298245614,0.756596131269496,0.0007235367585386,20069.0,5.0,II,0.0372340425531915,0.0422593279736137,0.644633106681251,0.456533497626589,29916.0,6.0,III,0.0159574468085106,0.0003086419753086,0.53072617084572,0.029955387840648,21583.0,Actinomycetota
61,Enterococcus_B,6.0,II,0.0159574468085106,0.0,0.500668339442893,9.32002165287448e-05,2244.0,6.0,VI,0.0053191489361702,0.0,0.335262156308877,0.0081398668555188,3019.0,7.0,II,0.0212765957446809,0.0558641975308642,0.540186418903772,0.0057515464769578,4619.0,Bacillota_I
65,Eubacterium_G_180878,7.0,I,0.0372340425531915,0.239035087719298,0.684093659358962,0.165705972011741,477.0,8.0,IV,0.0159574468085106,0.01566687280973,0.501188269248756,0.0282517466723954,229.0,9.0,I,0.0106382978723404,0.0,0.501384389366976,0.18689292514579,625.0,Bacillota_A_368345
7,1_Christensenellales(O),8.0,I,0.0319148936170213,0.0,0.615372605200365,0.320343156087029,298.0,9.0,I,0.0159574468085106,0.0,0.443610769540948,0.0036716854113397,75.0,,,,,,,,Bacillota_A_368345
78,Gemella,9.0,II,0.0159574468085106,0.0,0.514514034980712,0.0001355093384637,136.0,12.0,II,0.0425531914893617,0.015460729746444,0.604533766834296,0.572799022949169,1069.0,13.0,V,0.0212765957446809,0.0475308641975309,0.47088970702821,0.0029646470152695,1121.0,Bacillota_I
81,Granulicatella,10.0,II,0.0053191489361702,0.0,0.474481785570242,4.59513792604773e-05,131.0,13.0,II,0.0638297872340425,0.0923520923520924,0.660514909212936,0.682579554815602,577.0,14.0,V,0.0425531914893617,0.0453703703703704,0.606447100196153,0.011869558651531,801.0,Bacillota_I
134,Streptococcus,11.0,II,0.117021276595745,0.134649122807018,0.762154212096821,0.0006267514133628,5768.0,14.0,II,0.0638297872340425,0.297052154195011,0.7071392914043,0.723564302504278,11438.0,15.0,V,0.0372340425531915,0.041358024691358,0.586640968874227,0.0097539947563568,9467.0,Bacillota_I
143,Veillonella_A,12.0,I,0.0319148936170213,0.0425438596491228,0.517075978527714,0.0131144081924089,3190.0,15.0,II,0.0265957446808511,0.054421768707483,0.522434686164414,0.298741783190323,2453.0,16.0,V,0.0319148936170213,0.0725308641975309,0.605543982136869,0.0146624332403967,6580.0,Bacillota_C
49,Collinsella,13.0,II,0.0478723404255319,0.0388157894736842,0.635505541277395,0.0003611790004263,3919.0,17.0,III,0.0053191489361702,0.0,0.424340606240805,0.0185630415057401,4933.0,19.0,I,0.0372340425531915,0.0623456790123457,0.631760898088131,0.482076368353865,5825.0,Actinomycetota
138,Turicibacter,14.0,II,0.0372340425531915,0.0,0.576467721857496,0.0002984375510826,661.0,18.0,II,0.0212765957446809,0.0,0.56825033920756,0.160915515584033,1093.0,20.0,II,0.0106382978723404,0.0,0.507085002112715,0.010811994640496,980.0,Bacillota_I
11,1_Eggerthellaceae(F),15.0,0,0.0,0.0,0.0,0.0,62.0,,,,,,,,,,,,,,,Actinomycetota
127,Ruminococcus_E,16.0,II,0.0319148936170213,0.0,0.568638242922501,0.0002594152615187,8912.0,19.0,III,0.0212765957446809,0.0140177283034426,0.548266905997279,0.0897232816091898,6068.0,21.0,IV,0.0106382978723404,0.0006172839506172,0.444426341051235,0.0748131172601027,4269.0,Bacillota_A_368345
69,Faecalibacillus,17.0,II,0.0585106382978723,0.325,0.697611308733064,0.0014306976477675,2139.0,20.0,III,0.0531914893617021,0.0346320346320346,0.709867824805155,0.35689242792823,5211.0,22.0,I,0.0053191489361702,0.0,0.461788436456445,0.129359305998204,2199.0,Bacillota_I
137,Thomasclavelia,18.0,II,0.0372340425531915,0.0410087719298246,0.542099307701802,0.0001345008791211,584.0,21.0,II,0.0531914893617021,0.0018552875695732,0.648726713780183,0.781729758378723,4924.0,23.0,V,0.0265957446808511,0.0203703703703704,0.606512610776747,0.0188001950267349,1181.0,Bacillota_I
50,Coprobacillus,19.0,I,0.0106382978723404,0.0,0.537770517539874,0.129567673158798,69.0,22.0,II,0.0053191489361702,0.0,0.395830340825357,0.0440298164794197,650.0,,,,,,,,Bacillota_I
26,Alistipes_A_871400,20.0,I,0.117021276595745,0.0745614035087719,0.857665152700388,1.0,10527.0,24.0,I,0.0425531914893617,0.0667903525046382,0.561951807996926,0.0191179510302734,1197.0,24.0,I,0.0425531914893617,0.0790123456790123,0.586064095993488,0.358791864220085,2868.0,Bacteroidota
58,Eggerthella,21.0,II,0.0425531914893617,0.0,0.588975448354477,0.0003321173141308,397.0,25.0,II,0.0691489361702128,0.0632859204287776,0.668340048513044,0.762339229854234,4716.0,27.0,III,0.0265957446808511,0.0518518518518519,0.619846117814764,0.0462841547419905,2553.0,Actinomycetota
25,Akkermansia,22.0,VI,0.0053191489361702,0.0,0.372007254201463,0.0019308246931655,48164.0,26.0,0,0.0,0.0,0.0,0.0,30710.0,,,,,,,,Verrucomicrobiota
70,Faecalibacterium,23.0,I,0.0212765957446809,0.0548245614035088,0.575602607265848,0.0182300963215642,11091.0,27.0,III,0.0531914893617021,0.059575345289631,0.67320586513341,0.291002611620704,9722.0,28.0,I,0.0585106382978723,0.159876543209877,0.698323108138125,0.949999293728936,32826.0,Bacillota_A_368345
40,Blautia_A_141781,24.0,II,0.0851063829787234,0.141666666666667,0.756363059752805,0.0007228142709208,5858.0,28.0,II,0.0265957446808511,0.0859616573902288,0.600102686369338,0.252132134582868,17741.0,30.0,III,0.0531914893617021,0.266049382716049,0.720243311372044,0.130919997765194,10189.0,Bacillota_A_368345
5,1_CAG-508(F),25.0,III,0.0265957446808511,0.0530701754385965,0.576830348443541,0.10180988181066,1891.0,29.0,I,0.0212765957446809,0.0202020202020202,0.447512009000298,0.0028323874378256,1561.0,31.0,VIII,0.0,0.0,0.0,0.0,273.0,Bacillota_A_368345
45,CAG-269,26.0,I,0.0265957446808511,0.0006578947368421,0.608838930646358,0.186503689410524,863.0,31.0,III,0.0106382978723404,0.0,0.449283569747642,0.0326252917797782,1801.0,,,,,,,,Bacillota_A_368345
85,Hominicoprocola,27.0,I,0.0957446808510638,0.111184210526316,0.775766767132856,0.627842912414794,1594.0,32.0,I,0.0372340425531915,0.0770975056689342,0.542964494103803,0.0122822996728865,286.0,32.0,IV,0.0212765957446809,0.05,0.479408191290281,0.0755248805379884,323.0,Bacillota_A_368345
111,Odoribacter_865974,28.0,I,0.0585106382978723,0.0013157894736842,0.696638209013609,0.608597918821877,389.0,,,,,,,,33.0,I,0.0159574468085106,0.0,0.465421684879354,0.145874397879975,221.0,Bacteroidota
118,Phocaeicola_A,29.0,I,0.111702127659574,0.182675438596491,0.86804254882103,0.926305009170914,20341.0,33.0,I,0.0212765957446809,0.0251494537208823,0.561437509250138,0.0404823990694176,7144.0,34.0,I,0.0531914893617021,0.062037037037037,0.672206520733341,0.935059984588877,14724.0,Bacteroidota
15,1_Oscillospiraceae_88309(F),30.0,I,0.0372340425531915,0.0,0.621577906942648,0.420929868400282,73.0,,,,,,,,,,,,,,,Bacillota_A_368345
66,Eubacterium_R,31.0,VII,0.0106382978723404,0.0032894736842105,0.502081482269201,0.0282560329422827,2236.0,34.0,III,0.0053191489361702,0.0,0.462119437011463,0.0336825275910781,2234.0,35.0,X,0.0,0.0,0.0,0.0,2430.0,Bacillota_A_368345
116,Pauljensenia,32.0,II,0.0478723404255319,0.0,0.580668986781859,0.000371193323169,101.0,36.0,II,0.0212765957446809,0.0006184291898577,0.480237695329334,0.184685899443177,402.0,36.0,V,0.0159574468085106,0.0003086419753086,0.480749588050104,0.0043010753999426,289.0,Actinomycetota
120,Prevotella,33.0,V,0.0,0.0,0.0,0.0,4448.0,37.0,I,0.0265957446808511,0.0098948670377241,0.52033130690981,0.0135126281357241,194.0,80.0,VII,0.0053191489361702,0.0,0.353713045234412,0.0091252398026002,1588.0,Bacteroidota
114,Parabacteroides_B_862066,34.0,I,0.0638297872340425,0.024780701754386,0.694419088222038,0.628661198582403,4529.0,38.0,I,0.0159574468085106,0.0,0.488938681383407,0.0115187248986559,570.0,37.0,I,0.0319148936170213,0.033641975308642,0.525690192171245,0.288911687646902,1876.0,Bacteroidota
145,Vescimonas,35.0,I,0.0585106382978723,0.0337719298245614,0.709049116501751,0.444084800240089,3866.0,39.0,I,0.0319148936170213,0.191094619666048,0.618805940565201,0.0493300733678256,252.0,38.0,IV,0.0265957446808511,0.0765432098765432,0.542490235301409,0.117640762513576,1089.0,Bacillota_A_368345
27,Alistipes_A_871404,36.0,I,0.0904255319148936,0.0081140350877193,0.760117884436853,0.811400308210065,1042.0,,,,,,,,82.0,VIII,0.0,0.0,0.0,0.0,64.0,Bacteroidota
101,Limiplasma,37.0,VIII,0.0265957446808511,0.174122807017544,0.624730125906505,0.0782195754014449,646.0,40.0,IV,0.0212765957446809,0.0261801690373119,0.508549470079396,0.0145900011813244,338.0,,,,,,,,Bacillota_A_368345
46,Clostridium_AP_143938,38.0,IV,0.0106382978723404,0.0006578947368421,0.391925820673251,6.849589347019e-06,96.0,41.0,II,0.0425531914893617,0.0018552875695732,0.583913466029174,0.500960263334802,397.0,39.0,III,0.0159574468085106,0.0074074074074074,0.546093769073218,0.0158691403230934,918.0,Bacillota_A_368345
43,Butyricimonas,39.0,I,0.0265957446808511,0.0,0.587594776742086,0.293308122080075,246.0,,,,,,,,,,,,,,,Bacteroidota
31,Anaerostipes,40.0,II,0.0585106382978723,0.0144736842105263,0.693344756514267,0.0005731220251967,2678.0,42.0,III,0.0372340425531915,0.28447742733457,0.672059927930255,0.33494139835751,4522.0,40.0,III,0.0265957446808511,0.0833333333333333,0.622947120704678,0.077978423118354,2622.0,Bacillota_A_368345
24,Agathobaculum,41.0,I,0.0212765957446809,0.0019736842105263,0.5361318824895,0.0171976119769948,376.0,43.0,IV,0.0265957446808511,0.0247371675943105,0.528602610418601,0.0612554505630284,323.0,41.0,I,0.0638297872340425,0.244444444444444,0.725377053673861,0.879202518976858,1097.0,Bacillota_A_368345
48,Clostridium_T,42.0,II,0.0851063829787234,0.0333333333333333,0.711844641633341,0.0005699756011659,2329.0,44.0,II,0.0372340425531915,0.0313337456194599,0.627557551299236,0.351348979855972,5632.0,42.0,II,0.0478723404255319,0.202160493827161,0.66524666765895,0.0257811434126422,4866.0,Bacillota_A_368345
37,Barnesiella_B,43.0,I,0.074468085106383,0.006359649122807,0.71678892962391,0.706294621788374,4248.0,45.0,I,0.0106382978723404,0.0,0.447843207439501,0.0066520308350303,1177.0,,,,,,,,Bacteroidota
110,Nanosynbacter,44.0,II,0.0106382978723404,0.0,0.483289444143537,7.6817274032468e-05,171.0,46.0,II,0.0425531914893617,0.0020614306328592,0.605031972675026,0.488068270393671,157.0,74.0,V,0.0159574468085106,0.0027777777777777,0.531271347409768,0.009842258466552,115.0,Patescibacteria
6,1_Chloroplast(C),45.0,IV,0.0265957446808511,0.0407894736842105,0.513726032381723,8.6572782485931e-05,449.0,47.0,II,0.0159574468085106,0.0202020202020202,0.475392929587126,0.138858607487467,1381.0,,,,,,,,Cyanobacteriota
139,UBA5905,46.0,I,0.0691489361702128,0.0008771929824561,0.703215093757719,0.642885315959967,630.0,87.0,I,0.0053191489361702,0.0,0.396779440280989,0.0020454708451561,95.0,,,,,,,,Bacillota_A_368345
33,Anaerotruncus,47.0,I,0.0319148936170213,0.0,0.589587785302228,0.323455367421335,173.0,,,,,,,,84.0,I,0.0053191489361702,0.0,0.37911088485737,0.0403401806668688,344.0,Bacillota_A_368345
57,Dysosmobacter,48.0,I,0.0904255319148936,0.0171052631578947,0.77383657699434,0.814135638695505,1529.0,88.0,I,0.0053191489361702,0.0,0.399080528144307,0.0020996680862014,117.0,43.0,I,0.0265957446808511,0.0271604938271605,0.5294235007786,0.336832624240321,575.0,Bacillota_A_368345
36,Bariatricus,49.0,II,0.0159574468085106,0.0,0.524700628050382,0.0001291382101011,732.0,48.0,III,0.0372340425531915,0.0397856112141826,0.600802951712331,0.178012606149842,778.0,44.0,I,0.0265957446808511,0.0827160493827161,0.608310784541993,0.323522746848893,2466.0,Bacillota_A_368345
19,2_Oscillospiraceae_88309(F),50.0,I,0.0106382978723404,0.0,0.521782634267818,0.0736808715412927,71.0,,,,,,,,,,,,,,,Bacillota_A_368345
