Label,edge_degree
Bacteroides_H_857956,23.0
Alistipes_A_871400,22.0
Phocaeicola_A,21.0
Hominicoprocola,18.0
Dysosmobacter,17.0
Alistipes_A_871404,17.0
Lawsonibacter,15.0
Barnesiella_B,14.0
Faecousia,13.0
UBA5905,13.0
Parabacteroides_B_862066,12.0
Odoribacter_865974,11.0
Vescimonas,11.0
Acetatifactor,10.0
Parasutterella_564865,9.0
Eubacterium_F,8.0
Merdimmobilis,7.0
Roseburia_A_166204,7.0
1_Oscillospiraceae_88309(F),7.0
Eubacterium_G_180878,7.0
Anaerotruncus,6.0
1_Christensenellales(O),6.0
Veillonella_A,6.0
CAG-269,5.0
Butyricimonas,5.0
Enterocloster,5.0
Faecalibacterium,4.0
Lachnospira,4.0
Agathobacter_164117,4.0
Agathobaculum,4.0
Intestinimonas,3.0
UMGS1071,2.0
Sutterella,2.0
1_QAKW01(F),2.0
2_Oscillospiraceae_88309(F),2.0
Coprobacillus,2.0
Eisenbergiella,2.0
Alitiscatomonas,1.0
1_Anaerotignaceae(F),1.0
Haemophilus_D_735815,1.0
Hominilimicola,1.0
