Label,edge_degree
Streptococcus,22.0
Anaerobutyricum,18.0
Bifidobacterium_388775,18.0
Lentihominibacter,17.0
Clostridium_T,16.0
Blautia_A_141781,16.0
Dorea_A,14.0
Romboutsia_B,12.0
Faecalibacillus,11.0
Intestinibacter,11.0
Anaerostipes,11.0
Collinsella,9.0
Pauljensenia,9.0
Eggerthella,8.0
Terrisporobacter,7.0
Turicibacter,7.0
Fusicatenibacter,7.0
Gemmiger_A_73129,7.0
Thomasclavelia,7.0
Mediterraneibacter_A_155507,6.0
Ruminococcus_E,6.0
Blautia_A_141893,4.0
Gordonibacter,4.0
Gemella,3.0
Coprococcus_A_187866,3.0
Enterococcus_B,3.0
Bariatricus,3.0
Hominibacterium,3.0
Anaerotardibacter,2.0
Nanosynbacter,2.0
1_Anaerovoracaceae(F),1.0
Anaeromassilibacillus,1.0
Granulicatella,1.0
Ruminococcus_B,1.0
