Label,edge_degree
Faecousia,13.0
Faecalibacterium,10.0
Alistipes_A_871400,8.0
Agathobacter_164117,8.0
Bacteroides_H_857956,8.0
Hominicoprocola,7.0
Roseburia_A_166204,7.0
Vescimonas,6.0
Veillonella_A,5.0
Agathobaculum,5.0
Phocaeicola_A,4.0
Enterocloster,4.0
Haemophilus_D_735815,4.0
Parabacteroides_B_862066,3.0
1_Christensenellales(O),3.0
Eubacterium_G_180878,3.0
Alitiscatomonas,2.0
CAG-269,2.0
Barnesiella_B,2.0
Eubacterium_F,2.0
Hominilimicola,2.0
Coprobacillus,1.0
Acetatifactor,1.0
Lachnospira,1.0
Dysosmobacter,1.0
Parasutterella_564865,1.0
UBA5905,1.0
UMGS1071,1.0
