Label,edge_degree
Ruminococcus_B,16.0
Gemmiger_A_73129,15.0
Dorea_A,14.0
Eggerthella,13.0
Granulicatella,12.0
Streptococcus,12.0
Lentihominibacter,11.0
Fusicatenibacter,10.0
Thomasclavelia,10.0
Faecalibacillus,10.0
Intestinibacter,9.0
Anaerobutyricum,9.0
Gemella,8.0
Nanosynbacter,8.0
Anaerostipes,7.0
Bifidobacterium_388775,7.0
Bariatricus,7.0
Clostridium_T,7.0
Romboutsia_B,7.0
Terrisporobacter,6.0
Mediterraneibacter_A_155507,5.0
Blautia_A_141781,5.0
Ruminococcus_E,4.0
Blautia_A_141893,4.0
Turicibacter,4.0
Pauljensenia,4.0
Collinsella,1.0
Anaerotardibacter,1.0
Gordonibacter,1.0
Enterococcus_B,1.0
