Label,edge_degree
Agathobaculum,12.0
Faecalibacterium,11.0
Phocaeicola_A,10.0
Alistipes_A_871400,8.0
Enterocloster,7.0
Haemophilus_D_735815,7.0
Bacteroides_H_857956,7.0
Agathobacter_164117,7.0
Parabacteroides_B_862066,6.0
Veillonella_A,6.0
Dysosmobacter,5.0
Hominilimicola,5.0
Vescimonas,5.0
Merdimmobilis,5.0
UMGS1071,5.0
Hominicoprocola,4.0
Odoribacter_865974,3.0
Lachnospira,3.0
Eisenbergiella,2.0
Eubacterium_G_180878,2.0
Anaerotruncus,1.0
Alistipes_A_871404,1.0
Faecousia,1.0
Parasutterella_564865,1.0
Lawsonibacter,1.0
Roseburia_A_166204,1.0
