Label,edge_degree
Dorea_A,11.0
Blautia_A_141781,10.0
Clostridium_T,9.0
Ruminococcus_B,9.0
Granulicatella,8.0
Collinsella,7.0
Streptococcus,7.0
Bariatricus,5.0
Intestinibacter,5.0
Thomasclavelia,5.0
Eggerthella,5.0
Anaerostipes,5.0
Gemmiger_A_73129,5.0
Gemella,4.0
Romboutsia_B,4.0
Mediterraneibacter_A_155507,4.0
Enterococcus_B,4.0
Pauljensenia,3.0
Bifidobacterium_388775,3.0
Anaerobutyricum,3.0
Nanosynbacter,3.0
Turicibacter,2.0
Ruminococcus_E,2.0
Faecalibacillus,1.0
Lentihominibacter,1.0
Terrisporobacter,1.0
